Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
        Total area actually reporting,100.0%,"2,369",23,85,769,"1,492","19,062","5,388","12,495","1,179",,,,,,,
"        Rate per 100,000 inhabitants",,690.8,6.7,24.8,224.3,435.1,"5,558.9","1,571.2","3,643.8",343.8,,,,,,,
"Fayetteville-Springdale-Rogers, AR-MO M.S.A.1","370,164",,,,,,,,,,,,,,,,
"    (Includes Benton, Madison, and Washington Counties, AR and McDonald County, MO.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Fayetteville, AR","61,082",251,0,36,36,179,"2,895",292,"2,464",139,,,,,,,
"            Springdale, AR","51,235",160,0,32,19,109,"2,055",281,"1,639",135,,,,,,,
"            Rogers, AR","41,785",68,0,30,7,31,"1,858",192,"1,603",63,,,,,,,
"            Bentonville, AR","24,225",39,1,22,3,13,782,121,630,31,,,,,,,
        Total area actually reporting,100.0%,891,7,178,78,628,"10,225","1,730","7,910",585,,,,,,,
"        Rate per 100,000 inhabitants",,240.7,1.9,48.1,21.1,169.7,"2,762.3",467.4,"2,136.9",158.0,,,,,,,
"Flagstaff, AZ M.S.A.","123,037", ,,,,, ,,,,,,,,,,
    (Includes Coconino County.),,,,,,,,,,,,,,,,,
        City of Flagstaff,"56,430",401,1,44,45,311,"4,614",643,"3,770",201,,,,,,,
        Total area actually reporting,100.0%,635,2,74,56,503,"6,587","1,061","5,230",296,,,,,,,
"        Rate per 100,000 inhabitants",,516.1,1.6,60.1,45.5,408.8,"5,353.7",862.3,"4,250.8",240.6,,,,,,,
"Flint, MI M.S.A.","442,720", ,,,,, ,,,,,,,,,,
    (Includes Genesee County.),,,,,,,,,,,,,,,,,
        City of Flint,"122,121","1,484",28,124,338,994,"6,714","2,063","3,353","1,298",,,,,,,
        Total area actually reporting,99.9%,"2,471",37,289,558,"1,587","17,175","4,428","10,416","2,331",,,,,,,
        Estimated total,100.0%,"2,472",37,289,558,"1,588","17,186","4,430","10,424","2,332",,,,,,,
"        Rate per 100,000 inhabitants",,558.4,8.4,65.3,126.0,358.7,"3,881.9","1,000.6","2,354.5",526.7,,,,,,,
"Florence-Muscle Shoals, AL M.S.A.","142,417", ,,,,, ,,,,,,,,,,
    (Includes Colbert and Lauderdale Counties.),,,,,,,,,,,,,,,,,
        City of:  ,,,,,,,,,,,,,,,,,
            Florence,"35,928",166,0,15,42,109,"1,601",304,"1,241",56,,,,,,,
            Muscle Shoals,"12,271",43,0,4,9,30,665,112,532,21,,,,,,,
        Total area actually reporting,99.1%,379,5,30,70,274,"4,319",950,"3,199",170,,,,,,,
        Estimated total,100.0%,384,5,30,72,277,"4,373",960,"3,239",174,,,,,,,
"        Rate per 100,000 inhabitants",,269.6,3.5,21.1,50.6,194.5,"3,070.6",674.1,"2,274.3",122.2,,,,,,,
"Florence, SC M.S.A.","197,067", ,,,,, ,,,,,,,,,,
    (Includes Darlington and Florence Counties.),,,,,,,,,,,,,,,,,
        City of Florence,"30,311",478,6,21,155,296,"3,749",611,"2,892",246,,,,,,,
        Total area actually reporting,100.0%,"2,059",22,92,347,"1,598","12,119","2,988","8,369",762,,,,,,,
"        Rate per 100,000 inhabitants",,"1,044.8",11.2,46.7,176.1,810.9,"6,149.7","1,516.2","4,246.8",386.7,,,,,,,
"Fond du Lac, WI M.S.A.","98,368", ,,,,, ,,,,,,,,,,
    (Includes Fond du Lac County.),,,,,,,,,,,,,,,,,
        City of Fond du Lac,"42,537",46,0,10,7,29,"1,332",177,"1,106",49,,,,,,,
        Total area actually reporting,100.0%,73,0,18,8,47,"2,095",331,"1,666",98,,,,,,,
"        Rate per 100,000 inhabitants",,74.2,0.0,18.3,8.1,47.8,"2,129.8",336.5,"1,693.6",99.6,,,,,,,
"Fort Smith, AR-OK M.S.A.1","279,891", ,,,,, ,,,,,,,,,,
"    (Includes Crawford, Franklin, and Sebastian Counties, AR and Le Flore and Sequoyah Counties, OK.)",,,,,,,,,,,,,,,,,
"        City of Fort Smith, AR","81,989",804,12,74,135,583,"7,173","1,111","5,764",298,,,,,,,
        Total area actually reporting,95.9%,"1,329",20,108,153,"1,048","10,222","2,197","7,557",468,,,,,,,
        Estimated total,100.0%,"1,354",20,111,155,"1,068","10,396","2,256","7,658",482,,,,,,,
"        Rate per 100,000 inhabitants",,483.8,7.1,39.7,55.4,381.6,"3,714.3",806.0,"2,736.1",172.2,,,,,,,
"Fort Walton Beach-Crestview-Destin, FL M.S.A.","178,924",,,,,,,,,,,,,,,,
    (Includes Okaloosa County.),,,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Fort Walton Beach,"20,466",122,0,16,19,87,772,116,598,58,,,,,,,
            Crestview,"15,634",60,0,3,15,42,581,124,439,18,,,,,,,
        Total area actually reporting,100.0%,603,3,52,118,430,"4,880",940,"3,646",294,,,,,,,
"        Rate per 100,000 inhabitants",,337.0,1.7,29.1,65.9,240.3,"2,727.4",525.4,"2,037.7",164.3,,,,,,,
"Fort Wayne, IN M.S.A.","399,002", ,,,,, ,,,,,,,,,,
"    (Includes Allen, Wells, and Whitley Counties.)",,,,,,,,,,,,,,,,,
        City of Fort Wayne,"211,317",772,19,118,354,281,"11,113","2,188","8,145",780,,,,,,,
        Total area actually reporting,92.5%,913,19,144,385,365,"13,719","2,685","10,048",986,,,,,,,
        Estimated total,100.0%,971,19,149,396,407,"14,343","2,808","10,490","1,045",,,,,,,
"        Rate per 100,000 inhabitants",,243.4,4.8,37.3,99.2,102.0,"3,594.7",703.8,"2,629.1",261.9,,,,,,,
"Fresno, CA M.S.A.1","843,389", ,,,,, ,,,,,,,,,,
    (Includes Fresno County.),,,,,,,,,,,,,,,,,
        City of Fresno,"449,898","3,505",37,164,"1,215","2,089","27,196","3,927","17,608","5,661",,,,,,,
        Total area actually reporting,100.0%,"5,055",61,270,"1,505","3,219","42,465","7,148","26,932","8,385",,,,,,,
"        Rate per 100,000 inhabitants",,599.4,7.2,32.0,178.4,381.7,"5,035.0",847.5,"3,193.3",994.2,,,,,,,
"Gainesville, FL M.S.A.","241,311", ,,,,, ,,,,,,,,,,
    (Includes Alachua and Gilchrist Counties.),,,,,,,,,,,,,,,,,
        City of Gainesville,"96,919","1,004",5,55,197,747,"5,049","1,208","3,370",471,,,,,,,
        Total area actually reporting,100.0%,"2,068",7,115,308,"1,638","10,608","2,662","7,047",899,,,,,,,
"        Rate per 100,000 inhabitants",,857.0,2.9,47.7,127.6,678.8,"4,396.0","1,103.1","2,920.3",372.5,,,,,,,
"Gainesville, GA M.S.A.","154,447", ,,,,, ,,,,,,,,,,
    (Includes Hall County.),,,,,,,,,,,,,,,,,
        City of Gainesville,"28,374",177,1,8,50,118,"2,069",286,"1,660",123,,,,,,,
        Total area actually reporting,99.9%,417,7,31,79,300,"5,353","1,049","3,748",556,,,,,,,
        Estimated total,100.0%,417,7,31,79,300,"5,361","1,050","3,754",557,,,,,,,
"        Rate per 100,000 inhabitants",,270.0,4.5,20.1,51.2,194.2,"3,471.1",679.8,"2,430.6",360.6,,,,,,,
"Glens Falls, NY M.S.A.","125,314", ,,,,, ,,,,,,,,,,
    (Includes Warren and Washington Counties.),,,,,,,,,,,,,,,,,
        City of Glens Falls,"14,218",35,0,1,6,28,367,59,299,9,,,,,,,
        Total area actually reporting,100.0%,319,1,36,18,264,"2,335",451,"1,832",52,,,,,,,
"        Rate per 100,000 inhabitants",,254.6,0.8,28.7,14.4,210.7,"1,863.3",359.9,"1,461.9",41.5,,,,,,,
"Goldsboro, NC M.S.A.","114,136", ,,,,, ,,,,,,,,,,
    (Includes Wayne County.),,,,,,,,,,,,,,,,,
        City of Goldsboro,"38,881",390,5,9,99,277,"2,577",608,"1,823",146,,,,,,,
        Total area actually reporting,99.8%,585,10,9,148,418,"4,910","1,479","3,139",292,,,,,,,
        Estimated total,100.0%,586,10,9,148,419,"4,924","1,482","3,149",293,,,,,,,
"        Rate per 100,000 inhabitants",,513.4,8.8,7.9,129.7,367.1,"4,314.2","1,298.5","2,759.0",256.7,,,,,,,
"Grand Forks, ND-MN M.S.A.","96,253", ,,,,, ,,,,,,,,,,
"    (Includes Polk County, MN and Grand Forks County, ND.)",,,,,,,,,,,,,,,,,
"        City of Grand Forks, ND","48,525",68,0,13,9,46,"1,989",255,"1,618",116,,,,,,,
        Total area actually reporting,98.5%,130,1,26,11,92,"3,098",466,"2,452",180,,,,,,,
        Estimated total,100.0%,131,1,26,11,93,"3,148",474,"2,491",183,,,,,,,
"        Rate per 100,000 inhabitants",,136.1,1.0,27.0,11.4,96.6,"3,270.5",492.5,"2,588.0",190.1,,,,,,,
"Grand Junction, CO M.S.A.","122,608", ,,,,, ,,,,,,,,,,
    (Includes Mesa County.),,,,,,,,,,,,,,,,,
        City of Grand Junction,"43,593",233,0,34,17,182,"3,236",513,"2,561",162,,,,,,,
        Total area actually reporting,94.2%,324,1,35,32,256,"4,694",845,"3,571",278,,,,,,,
        Estimated total,100.0%,345,1,37,37,270,"5,010",893,"3,801",316,,,,,,,
"        Rate per 100,000 inhabitants",,281.4,0.8,30.2,30.2,220.2,"4,086.2",728.3,"3,100.1",257.7,,,,,,,
"Grand Rapids-Wyoming, MI M.S.A.1","760,075",,,,,,,,,,,,,,,,
"    (Includes Barry, Ionia, Kent, and Newaygo Counties.)",, ,,,,,,,,,,,,,,,
        City of: ,,,,,,,,,,,,,,,,,
            Grand Rapids1,"197,173","2,070",11,68,533,"1,458","9,326","2,048","6,569",709,,,,,,,
            Wyoming,"70,535",331,0,51,70,210,"2,189",628,"1,347",214,,,,,,,
        Total area actually reporting,99.5%,"3,436",22,396,708,"2,310","23,853","5,264","17,124","1,465",,,,,,,
        Estimated total,100.0%,"3,446",22,397,710,"2,317","23,973","5,284","17,210","1,479",,,,,,,
"        Rate per 100,000 inhabitants",,453.4,2.9,52.2,93.4,304.8,"3,154.0",695.2,"2,264.3",194.6,,,,,,,
"Great Falls, MT M.S.A.","80,102", ,,,,, ,,,,,,,,,,
    (Includes Cascade County.),,,,,,,,,,,,,,,,,
        City of Great Falls,"56,549",293,5,13,58,217,"4,056",376,"3,534",146,,,,,,,
        Total area actually reporting,100.0%,334,6,15,59,254,"4,525",398,"3,955",172,,,,,,,
"        Rate per 100,000 inhabitants",,417.0,7.5,18.7,73.7,317.1,"5,649.0",496.9,"4,937.5",214.7,,,,,,,
"Greeley, CO M.S.A.","207,022", ,,,,, ,,,,,,,,,,
    (Includes Weld County.),,,,,,,,,,,,,,,,,
        City of Greeley,"82,919",279,2,49,52,176,"5,329",689,"4,255",385,,,,,,,
        Total area actually reporting,92.2%,523,3,83,75,362,"8,262","1,323","6,204",735,,,,,,,
        Estimated total,100.0%,570,3,89,85,393,"8,979","1,432","6,725",822,,,,,,,
"        Rate per 100,000 inhabitants",,275.3,1.4,43.0,41.1,189.8,"4,337.2",691.7,"3,248.4",397.1,,,,,,,
"Greensboro-High Point, NC M.S.A.","664,819",,,,,,,,,,,,,,,,
"    (Includes Guilford, Randolph, and Rockingham Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Greensboro,"230,606","1,547",36,97,697,717,"13,758","3,255","9,455","1,048",,,,,,,
            High Point,"90,275",774,8,34,260,472,"5,824","1,563","3,712",549,,,,,,,
        Total area actually reporting,99.4%,"3,071",56,175,"1,176","1,664","31,755","7,917","21,556","2,282",,,,,,,
        Estimated total,100.0%,"3,087",56,176,"1,181","1,674","31,977","7,966","21,718","2,293",,,,,,,
"        Rate per 100,000 inhabitants",,464.3,8.4,26.5,177.6,251.8,"4,809.9","1,198.2","3,266.8",344.9,,,,,,,
"Greenville, NC M.S.A.","158,296", ,,,,, ,,,,,,,,,,
    (Includes Greene and Pitt Counties.),,,,,,,,,,,,,,,,,
        City of Greenville,"66,183",596,4,10,253,329,"4,662","1,348","3,097",217,,,,,,,
        Total area actually reporting,100.0%,"1,019",6,44,332,637,"8,378","2,633","5,353",392,,,,,,,
"        Rate per 100,000 inhabitants",,643.7,3.8,27.8,209.7,402.4,"5,292.6","1,663.3","3,381.6",247.6,,,,,,,
"Greenville, SC M.S.A.","580,535", ,,,,, ,,,,,,,,,,
"    (Includes Greenville, Laurens, and Pickens Counties.)",,,,,,,,,,,,,,,,,
        City of Greenville,"56,728",571,2,33,106,430,"4,264",781,"3,192",291,,,,,,,
        Total area actually reporting,100.0%,"3,520",35,213,500,"2,772","21,373","5,319","14,502","1,552",,,,,,,
"        Rate per 100,000 inhabitants",,606.3,6.0,36.7,86.1,477.5,"3,681.6",916.2,"2,498.0",267.3,,,,,,,
"Hanford-Corcoran, CA M.S.A.","136,460",,,,,,,,,,,,,,,,
    (Includes Kings County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Hanford,"44,815",162,1,15,38,108,"1,614",251,"1,172",191,,,,,,,
            Corcoran,"21,149",31,0,2,9,20,273,94,164,15,,,,,,,
        Total area actually reporting,100.0%,434,5,35,83,311,"3,483",725,"2,239",519,,,,,,,
"        Rate per 100,000 inhabitants",,318.0,3.7,25.6,60.8,227.9,"2,552.4",531.3,"1,640.8",380.3,,,,,,,
"Harrisburg-Carlisle, PA M.S.A.","515,819",,,,,,,,,,,,,,,,
"    (Includes Cumberland, Dauphin, and Perry Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Harrisburg,"48,659",687,6,29,375,277,"2,395",543,"1,698",154,,,,,,,
            Carlisle,"18,080",53,0,13,28,12,500,58,423,19,,,,,,,
        Total area actually reporting,93.1%,"1,432",13,138,587,694,"10,878","2,077","8,228",573,,,,,,,
        Estimated total,100.0%,"1,513",14,144,608,747,"11,629","2,185","8,816",628,,,,,,,
"        Rate per 100,000 inhabitants",,293.3,2.7,27.9,117.9,144.8,"2,254.5",423.6,"1,709.1",121.7,,,,,,,
"Harrisonburg, VA M.S.A.","110,950", ,,,,, ,,,,,,,,,,
    (Includes Rockingham County and Harrisonburg City.),,,,,,,,,,,,,,,,,
        City of Harrisonburg,"41,429",106,0,13,23,70,"1,179",183,927,69,,,,,,,
        Total area actually reporting,100.0%,160,0,33,25,102,"1,879",348,"1,412",119,,,,,,,
"        Rate per 100,000 inhabitants",,144.2,0.0,29.7,22.5,91.9,"1,693.6",313.7,"1,272.6",107.3,,,,,,,
"Hinesville-Fort Stewart, GA M.S.A.","73,563",,,,,,,,,,,,,,,,
    (Includes Liberty and Long Counties.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Hinesville,"30,985",168,4,9,63,92,"1,846",302,"1,471",73,,,,,,,
        Total area actually reporting,96.4%,254,4,14,85,151,"2,664",522,"2,028",114,,,,,,,
        Estimated total,100.0%,269,4,15,90,160,"2,812",546,"2,137",129,,,,,,,
"        Rate per 100,000 inhabitants",,365.7,5.4,20.4,122.3,217.5,"3,822.6",742.2,"2,905.0",175.4,,,,,,,
"Holland-Grand Haven, MI M.S.A.","246,636",,,,,,,,,,,,,,,,
    (Includes Ottawa County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Holland,"27,438",91,0,21,4,66,916,134,750,32,,,,,,,
            Grand Haven,"10,962",36,0,15,2,19,433,76,332,25,,,,,,,
        Total area actually reporting,97.1%,447,1,164,20,262,"4,778",925,"3,602",251,,,,,,,
        Estimated total,100.0%,466,1,166,24,275,"4,999",962,"3,760",277,,,,,,,
"        Rate per 100,000 inhabitants",,188.9,0.4,67.3,9.7,111.5,"2,026.9",390.0,"1,524.5",112.3,,,,,,,
"Honolulu, HI M.S.A.","905,301", ,,,,, ,,,,,,,,,,
    (Includes Honolulu County.),,,,,,,,,,,,,,,,,
        City of Honolulu,"905,301","2,606",15,266,989,"1,336","48,306","7,967","32,086","8,253",,,,,,,
        Total area actually reporting,100.0%,"2,606",15,266,989,"1,336","48,306","7,967","32,086","8,253",,,,,,,
"        Rate per 100,000 inhabitants",,287.9,1.7,29.4,109.2,147.6,"5,335.9",880.0,"3,544.2",911.6,,,,,,,
"Houma-Bayou Cane-Thibodaux, LA M.S.A.","197,462",,,,,,,,,,,,,,,,
    (Includes Lafourche and Terrebonne Parishes.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Houma,"32,228",356,2,25,61,268,"1,764",280,"1,382",102,,,,,,,
            Thibodaux,"14,558",93,0,8,13,72,636,150,471,15,,,,,,,
        Total area actually reporting,98.7%,968,7,87,144,730,"7,790","1,677","5,679",434,,,,,,,
        Estimated total,100.0%,984,7,88,147,742,"7,945","1,703","5,799",443,,,,,,,
"        Rate per 100,000 inhabitants",,498.3,3.5,44.6,74.4,375.8,"4,023.6",862.4,"2,936.8",224.3,,,,,,,
"Houston-Baytown-Sugar Land, TX M.S.A.","5,063,922",,,,,,,,,,,,,,,,
"  (Includes Austin, Brazoria, Chambers, Fort Bend, Galveston, Harris, Liberty, Montgomery, San Jacinto, and Waller Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Houston,"2,041,081","23,988",278,768,"10,985","11,957","120,005","26,522","72,032","21,451",,,,,,,
            Baytown,"68,407",264,5,31,75,153,"2,925",590,"2,103",232,,,,,,,
            Sugar Land,"69,666",154,5,10,42,97,"1,675",262,"1,311",102,,,,,,,
            Galveston,"57,566",479,8,85,183,203,"3,417",636,"2,410",371,,,,,,,
        Total area actually reporting,99.9%,"37,396",407,"1,811","14,450","20,728","220,696","50,479","139,040","31,177",,,,,,,
        Estimated total,100.0%,"37,397",407,"1,811","14,450","20,729","220,718","50,483","139,056","31,179",,,,,,,
"        Rate per 100,000 inhabitants",,738.5,8.0,35.8,285.4,409.3,"4,358.6",996.9,"2,746.0",615.7,,,,,,,
"Huntsville, AL M.S.A.","354,865", ,,,,, ,,,,,,,,,,
    (Includes Limestone and Madison Counties.),,,,,,,,,,,,,,,,,
        City of Huntsville,"163,052",988,19,84,316,569,"9,388","1,740","6,774",874,,,,,,,
        Total area actually reporting,100.0%,"1,255",22,120,372,741,"14,035","2,924","9,882","1,229",,,,,,,
"        Rate per 100,000 inhabitants",,353.7,6.2,33.8,104.8,208.8,"3,955.0",824.0,"2,784.7",346.3,,,,,,,
"Idaho Falls, ID M.S.A.","106,934", ,,,,, ,,,,,,,,,,
    (Includes Bonneville and Jefferson Counties.),,,,,,,,,,,,,,,,,
        City of Idaho Falls,"52,056",148,2,22,12,112,"1,941",244,"1,553",144,,,,,,,
        Total area actually reporting,100.0%,242,2,47,16,177,"2,894",462,"2,228",204,,,,,,,
"        Rate per 100,000 inhabitants",,226.3,1.9,44.0,15.0,165.5,"2,706.3",432.0,"2,083.5",190.8,,,,,,,
"Indianapolis, IN M.S.A.","1,584,030", ,,,,, ,,,,,,,,,,
"    (Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Marion, Morgan, Putnam, and Shelby Counties.)",,,,,,,,,,,,,,,,,
        City of Indianapolis,"800,167","7,069",107,420,"2,828","3,714","45,386","10,062","27,891","7,433",,,,,,,
        Total area actually reporting,91.9%,"8,408",116,501,"3,047","4,744","59,286","12,298","38,564","8,424",,,,,,,
        Estimated total,100.0%,"8,685",119,522,"3,103","4,941","62,374","12,866","40,797","8,711",,,,,,,
"        Rate per 100,000 inhabitants",,548.3,7.5,33.0,195.9,311.9,"3,937.7",812.2,"2,575.5",549.9,,,,,,,
"Iowa City, IA M.S.A.","135,742", ,,,,, ,,,,,,,,,,
    (Includes Johnson and Washington Counties.),,,,,,,,,,,,,,,,,
        City of Iowa City,"63,975",368,0,28,47,293,"2,031",343,"1,606",82,,,,,,,
        Total area actually reporting,100.0%,535,1,62,58,414,"3,601",677,"2,779",145,,,,,,,
"        Rate per 100,000 inhabitants",,394.1,0.7,45.7,42.7,305.0,"2,652.8",498.7,"2,047.3",106.8,,,,,,,
"Jackson, MI M.S.A.","161,445", ,,,,, ,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,
        City of Jackson,"35,618",196,5,39,63,89,"2,077",363,"1,573",141,,,,,,,
        Total area actually reporting,100.0%,532,10,102,93,327,"4,925","1,026","3,564",335,,,,,,,
"        Rate per 100,000 inhabitants",,329.5,6.2,63.2,57.6,202.5,"3,050.6",635.5,"2,207.6",207.5,,,,,,,
"Jackson, MS M.S.A.","507,181", ,,,,, ,,,,,,,,,,
"    (Includes Copiah, Hinds, Madison, Rankin, and Simpson Counties.)",,,,,,,,,,,,,,,,,
        City of Jackson,"181,479","1,648",45,179,962,462,"15,496","4,369","8,323","2,804",,,,,,,
        Total area actually reporting,79.7%,"1,987",58,230,"1,044",655,"20,997","5,900","11,834","3,263",,,,,,,
        Estimated total,100.0%,"2,247",63,262,"1,127",795,"24,864","6,792","14,491","3,581",,,,,,,
"        Rate per 100,000 inhabitants",,443.0,12.4,51.7,222.2,156.7,"4,902.4","1,339.2","2,857.2",706.1,,,,,,,
"Jackson, TN M.S.A.","110,128", ,,,,, ,,,,,,,,,,
    (Includes Chester and Madison Counties.),,,,,,,,,,,,,,,,,
        City of Jackson,"61,100",691,2,35,198,456,"4,329",980,"2,964",385,,,,,,,
        Total area actually reporting,100.0%,863,2,56,212,593,"5,573","1,358","3,724",491,,,,,,,
"        Rate per 100,000 inhabitants",,783.6,1.8,50.8,192.5,538.5,"5,060.5","1,233.1","3,381.5",445.8,,,,,,,
"Jacksonville, FL M.S.A.","1,199,156", ,,,,, ,,,,,,,,,,
"    (Includes Baker, Clay, Duval, Nassau, and St. Johns Counties.)",,,,,,,,,,,,,,,,,
        City of Jacksonville,"776,417","6,729",92,213,"2,344","4,080","43,791","8,910","30,043","4,838",,,,,,,
        Total area actually reporting,100.0%,"9,051",107,290,"2,602","6,052","54,724","11,334","37,737","5,653",,,,,,,
"        Rate per 100,000 inhabitants",,754.8,8.9,24.2,217.0,504.7,"4,563.5",945.2,"3,147.0",471.4,,,,,,,
"Janesville, WI M.S.A.","154,973", ,,,,, ,,,,,,,,,,
    (Includes Rock County.),,,,,,,,,,,,,,,,,
        City of Janesville,"61,269",148,0,20,38,90,"3,251",566,"2,583",102,,,,,,,
        Total area actually reporting,100.0%,350,3,42,99,206,"6,058","1,132","4,662",264,,,,,,,
"        Rate per 100,000 inhabitants",,225.8,1.9,27.1,63.9,132.9,"3,909.1",730.4,"3,008.3",170.4,,,,,,,
"Jefferson City, MO M.S.A.","142,965", ,,,,, ,,,,,,,,,,
"    (Includes Callaway, Cole, Moniteau, and Osage Counties.)",,,,,,,,,,,,,,,,,
        City of Jefferson City,"39,299",276,3,27,21,225,"1,326",190,"1,064",72,,,,,,,
        Total area actually reporting,100.0%,444,5,43,43,353,"2,937",621,"2,147",169,,,,,,,
"        Rate per 100,000 inhabitants",,310.6,3.5,30.1,30.1,246.9,"2,054.3",434.4,"1,501.8",118.2,,,,,,,
"Johnson City, TN M.S.A.","184,912", ,,,,, ,,,,,,,,,,
"    (Includes Carter, Unicoi, and Washington Counties.)",,,,,,,,,,,,,,,,,
        City of Johnson City,"57,202",395,1,11,86,297,"3,811",546,"3,033",232,,,,,,,
        Total area actually reporting,100.0%,737,4,28,109,596,"7,134","1,449","5,172",513,,,,,,,
"        Rate per 100,000 inhabitants",,398.6,2.2,15.1,58.9,322.3,"3,858.1",783.6,"2,797.0",277.4,,,,,,,
"Jonesboro, AR M.S.A.","110,107", ,,,,, ,,,,,,,,,,
    (Includes Craighead and Poinsett Counties.),,,,,,,,,,,,,,,,,
        City of Jonesboro,"57,216",332,4,12,107,209,"3,377",875,"2,359",143,,,,,,,
        Total area actually reporting,100.0%,423,4,18,122,279,"4,572","1,497","2,882",193,,,,,,,
"        Rate per 100,000 inhabitants",,384.2,3.6,16.3,110.8,253.4,"4,152.3","1,359.6","2,617.5",175.3,,,,,,,
"Joplin, MO M.S.A.","161,104", ,,,,, ,,,,,,,,,,
    (Includes Jasper and Newton Counties.),,,,,,,,,,,,,,,,,
        City of Joplin,"46,447",191,5,29,48,109,"3,679",641,"2,803",235,,,,,,,
        Total area actually reporting,100.0%,518,9,64,67,378,"6,725","1,334","4,939",452,,,,,,,
"        Rate per 100,000 inhabitants",,321.5,5.6,39.7,41.6,234.6,"4,174.3",828.0,"3,065.7",280.6,,,,,,,
"Kennewick-Richland-Pasco, WA M.S.A.","205,201",,,,,,,,,,,,,,,,
    (Includes Benton and Franklin Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Kennewick,"58,545",208,3,23,32,150,"2,731",495,"2,090",146,,,,,,,
            Richland,"41,923",82,0,14,9,59,"1,242",242,947,53,,,,,,,
            Pasco,"35,784",105,0,20,20,65,"1,513",237,"1,160",116,,,,,,,
        Total area actually reporting,100.0%,518,5,68,67,378,"6,830","1,382","5,053",395,,,,,,,
"        Rate per 100,000 inhabitants",,252.4,2.4,33.1,32.7,184.2,"3,328.4",673.5,"2,462.5",192.5,,,,,,,
"Killeen-Temple-Fort Hood, TX M.S.A.","343,264",,,,,,,,,,,,,,,,
"    (Includes Bell, Coryell, and Lampasas Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Killeen,"94,148",788,6,76,186,520,"5,585","1,812","3,502",271,,,,,,,
            Temple,"55,293",170,5,1,48,116,"2,725",677,"1,862",186,,,,,,,
        Total area actually reporting,100.0%,"1,376",17,149,287,923,"12,662","3,697","8,271",694,,,,,,,
"        Rate per 100,000 inhabitants",,400.9,5.0,43.4,83.6,268.9,"3,688.7","1,077.0","2,409.5",202.2,,,,,,,
"Kingsport-Bristol-Bristol, TN-VA M.S.A.","302,188",,,,,,,,,,,,,,,,
"    (Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Kingsport, TN","44,702",387,2,40,63,282,"3,015",477,"2,377",161,,,,,,,
"            Bristol, TN","25,080",109,1,11,14,83,"1,285",206,"1,006",73,,,,,,,
"            Bristol, VA","17,336",89,0,4,4,81,654,84,547,23,,,,,,,
        Total area actually reporting,99.3%,"1,177",13,121,113,930,"9,979","2,130","7,219",630,,,,,,,
        Estimated total,100.0%,"1,187",13,122,116,936,"10,059","2,141","7,281",637,,,,,,,
"        Rate per 100,000 inhabitants",,392.8,4.3,40.4,38.4,309.7,"3,328.7",708.5,"2,409.4",210.8,,,,,,,
"Kingston, NY M.S.A.","180,292", ,,,,, ,,,,,,,,,,
    (Includes Ulster County.),,,,,,,,,,,,,,,,,
        City of Kingston,"23,387",118,1,7,62,48,"1,124",176,873,75,,,,,,,
        Total area actually reporting,91.8%,569,5,36,106,422,"3,348",649,"2,491",208,,,,,,,
        Estimated total,100.0%,596,5,37,115,439,"3,657",694,"2,734",229,,,,,,,
"        Rate per 100,000 inhabitants",,330.6,2.8,20.5,63.8,243.5,"2,028.4",384.9,"1,516.4",127.0,,,,,,,
"Knoxville, TN M.S.A.","634,806", ,,,,, ,,,,,,,,,,
"    (Includes Anderson, Blount, Knox, Loudon, and Union Counties.)",,,,,,,,,,,,,,,,,
        City of Knoxville,"174,993","1,692",18,81,443,"1,150","11,081","2,432","7,231","1,418",,,,,,,
        Total area actually reporting,100.0%,"3,264",35,233,645,"2,351","25,230","5,824","16,964","2,442",,,,,,,
"        Rate per 100,000 inhabitants",,514.2,5.5,36.7,101.6,370.3,"3,974.4",917.4,"2,672.3",384.7,,,,,,,
"Kokomo, IN M.S.A.","101,974", ,,,,, ,,,,,,,,,,
    (Includes Howard and Tipton Counties.),,,,,,,,,,,,,,,,,
