Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
            Fountain Valley,"56,390",69,0,5,31,33,"1,431",252,"1,013",166,,,,,,,
            Arcadia,"56,083",133,4,4,56,69,"1,571",388,"1,044",139,,,,,,,
            Cerritos,"53,409",166,3,3,73,87,"2,160",335,"1,448",377,,,,,,,
        Total area actually reporting,100.0%,"84,960","1,119","3,005","29,076","51,760","371,680","72,580","214,410","84,690",,,,,,,
"        Rate per 100,000 inhabitants",,654.7,8.6,23.2,224.1,398.9,"2,864.1",559.3,"1,652.2",652.6,,,,,,,
"    Los Angeles-Long Beach-Glendale, CA M.D.","9,985,385",,,,,,,,,,,,,,,,
        (Includes Los Angeles County.),,,,,,,, ,,,,,,,,,
            Total area actually reporting,100.0%,"76,652","1,038","2,483","26,565","46,566","297,521","59,425","165,971","72,125",,,,,,,
"            Rate per 100,000 inhabitants",,767.6,10.4,24.9,266.0,466.3,"2,979.6",595.1,"1,662.1",722.3,,,,,,,
"    Santa Ana-Anaheim-Irvine, CA M.D.","2,991,887",,,,,,,,,,,,,,,,
        (Includes Orange County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"8,308",81,522,"2,511","5,194","74,159","13,155","48,439","12,565",,,,,,,
"            Rate per 100,000 inhabitants",,277.7,2.7,17.4,83.9,173.6,"2,478.7",439.7,"1,619.0",420.0,,,,,,,
"Louisville, KY-IN M.S.A.","1,198,265", ,,,,, ,,,,,,,,,,
"    (Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY.)",,,,,,,,,,,,,,,,,
"        City of Louisville Metro, KY","624,697","3,280",66,216,"1,476","1,522","26,182","6,869","16,291","3,022",,,,,,,
        Total area actually reporting,96.9%,"4,246",83,318,"1,782","2,063","39,603","9,839","25,395","4,369",,,,,,,
        Estimated total,100.0%,"4,318",83,324,"1,799","2,112","40,454","10,001","26,008","4,445",,,,,,,
"        Rate per 100,000 inhabitants",,360.4,6.9,27.0,150.1,176.3,"3,376.0",834.6,"2,170.5",371.0,,,,,,,
"Lubbock, TX M.S.A.","261,508", ,,,,, ,,,,,,,,,,
    (Includes Crosby and Lubbock Counties.),,,,,,,,,,,,,,,,,
        City of Lubbock,"209,949","2,200",16,96,310,"1,778","12,868","2,678","9,494",696,,,,,,,
        Total area actually reporting,99.5%,"2,344",19,117,327,"1,881","14,684","3,107","10,766",811,,,,,,,
        Estimated total,100.0%,"2,348",19,117,328,"1,884","14,740","3,118","10,807",815,,,,,,,
"        Rate per 100,000 inhabitants",,897.9,7.3,44.7,125.4,720.4,"5,636.5","1,192.3","4,132.6",311.7,,,,,,,
"Lynchburg, VA M.S.A.","233,335", ,,,,, ,,,,,,,,,,
"    (Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities.)",,,,,,,,,,,,,,,,,
        City of Lynchburg,"65,761",242,4,17,64,157,"2,491",383,"1,930",178,,,,,,,
        Total area actually reporting,99.5%,456,6,60,95,295,"4,617",786,"3,520",311,,,,,,,
        Estimated total,100.0%,460,6,60,96,298,"4,667",793,"3,559",315,,,,,,,
"        Rate per 100,000 inhabitants",,197.1,2.6,25.7,41.1,127.7,"2,000.1",339.9,"1,525.3",135.0,,,,,,,
"Macon, GA M.S.A.","229,786", ,,,,, ,,,,,,,,,,
"    (Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties.)",,,,,,,,,,,,,,,,,
        City of Macon,"96,854",690,16,54,253,367,"9,484","2,003","6,455","1,026",,,,,,,
        Total area actually reporting,96.9%,892,23,82,290,497,"13,486","2,987","9,011","1,488",,,,,,,
        Estimated total,100.0%,933,23,84,302,524,"13,886","3,052","9,306","1,528",,,,,,,
"        Rate per 100,000 inhabitants",,406.0,10.0,36.6,131.4,228.0,"6,043.0","1,328.2","4,049.9",665.0,,,,,,,
"Madera, CA M.S.A.","135,003", ,,,,, ,,,,,,,,,,
    (Includes Madera County.),,,,,,,,,,,,,,,,,
        City of Madera,"48,505",385,5,20,132,228,"1,856",393,"1,065",398,,,,,,,
        Total area actually reporting,100.0%,723,7,35,158,523,"3,946","1,139","2,031",776,,,,,,,
"        Rate per 100,000 inhabitants",,535.5,5.2,25.9,117.0,387.4,"2,922.9",843.7,"1,504.4",574.8,,,,,,,
"Madison, WI M.S.A.","530,277", ,,,,, ,,,,,,,,,,
"    (Includes Columbia, Dane, and Iowa Counties.)",,,,,,,,,,,,,,,,,
        City of Madison,"219,898",842,3,94,292,453,"7,279","1,450","5,268",561,,,,,,,
        Total area actually reporting,86.5%,"1,179",5,140,354,680,"13,718","2,221","10,678",819,,,,,,,
        Estimated total,100.0%,"1,222",5,146,357,714,"14,580","2,415","11,299",866,,,,,,,
"        Rate per 100,000 inhabitants",,230.4,0.9,27.5,67.3,134.6,"2,749.5",455.4,"2,130.8",163.3,,,,,,,
"Mansfield, OH M.S.A.","128,527", ,,,,, ,,,,,,,,,,
    (Includes Richland County.),,,,,,,,,,,,,,,,,
        City of Mansfield,"50,791",144,2,22,84,36,"3,395",897,"2,325",173,,,,,,,
        Total area actually reporting,99.2%,221,4,42,117,58,"5,766","1,413","4,092",261,,,,,,,
        Estimated total,100.0%,223,4,42,118,59,"5,796","1,418","4,115",263,,,,,,,
"        Rate per 100,000 inhabitants",,173.5,3.1,32.7,91.8,45.9,"4,509.6","1,103.3","3,201.7",204.6,,,,,,,
"McAllen-Edinburg-Mission, TX M.S.A.","646,215",,,,,,,,,,,,,,,,
    (Includes Hidalgo County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            McAllen,"118,458",540,4,22,154,360,"8,894","1,001","7,244",649,,,,,,,
            Edinburg,"56,231",499,1,22,74,402,"6,851",814,"5,717",320,,,,,,,
            Mission,"55,536",92,0,0,40,52,"2,627",353,"2,016",258,,,,,,,
            Pharr,"55,367",247,4,18,58,167,"2,819",584,"2,148",87,,,,,,,
        Total area actually reporting,99.8%,"3,320",30,196,662,"2,432","36,399","6,774","27,237","2,388",,,,,,,
        Estimated total,100.0%,"3,324",30,196,663,"2,435","36,460","6,786","27,282","2,392",,,,,,,
"        Rate per 100,000 inhabitants",,514.4,4.6,30.3,102.6,376.8,"5,642.1","1,050.1","4,221.8",370.2,,,,,,,
"Medford, OR M.S.A.","191,945", ,,,,, ,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,
        City of Medford,"67,293",288,0,21,38,229,"4,080",551,"3,272",257,,,,,,,
        Total area actually reporting,99.8%,607,5,58,66,478,"7,871","1,307","6,041",523,,,,,,,
        Estimated total,100.0%,608,5,58,66,479,"7,890","1,310","6,055",525,,,,,,,
"        Rate per 100,000 inhabitants",,316.8,2.6,30.2,34.4,249.6,"4,110.6",682.5,"3,154.5",273.5,,,,,,,
"Memphis, TN-MS-AR M.S.A.1","1,251,369", ,,,,, ,,,,,,,,,,
"    (Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN.)",,,,,,,,,,,,,,,,,
        City of Memphis,"652,526","10,133",105,444,"3,771","5,813","54,165","14,621","32,205","7,339",,,,,,,
        Total area actually reporting,97.0%,"12,544",120,601,"4,227","7,596","73,468","19,764","44,553","9,151",,,,,,,
        Estimated total,100.0%,"12,627",121,614,"4,244","7,648","74,484","20,023","45,212","9,249",,,,,,,
"        Rate per 100,000 inhabitants",,"1,009.1",9.7,49.1,339.1,611.2,"5,952.2","1,600.1","3,613.0",739.1,,,,,,,
"Merced, CA M.S.A.","234,245", ,,,,, ,,,,,,,,,,
    (Includes Merced County.),,,,,,,,,,,,,,,,,
        City of Merced,"70,314",602,12,29,147,414,"4,774",717,"3,392",665,,,,,,,
        Total area actually reporting,100.0%,"1,612",16,83,232,"1,281","10,459","2,358","6,507","1,594",,,,,,,
"        Rate per 100,000 inhabitants",,688.2,6.8,35.4,99.0,546.9,"4,465.0","1,006.6","2,777.9",680.5,,,,,,,
"Miami-Fort Lauderdale-Miami Beach, FL M.S.A.","5,406,289",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Miami,"385,186","6,461",69,102,"2,367","3,923","24,505","5,556","14,652","4,297",,,,,,,
            Fort Lauderdale,"166,536","1,421",15,54,755,597,"10,109","2,612","6,493","1,004",,,,,,,
            Miami Beach,"91,296","1,247",8,52,585,602,"9,164","1,555","6,385","1,224",,,,,,,
            Pompano Beach,"90,020","1,126",9,38,347,732,"4,925","1,128","3,234",563,,,,,,,
            West Palm Beach,"90,908","1,234",18,68,560,588,"8,133","1,655","5,149","1,329",,,,,,,
            Boca Raton,"80,192",255,2,22,82,149,"3,008",600,"2,152",256,,,,,,,
            Deerfield Beach,"67,153",450,2,18,133,297,"2,246",398,"1,577",271,,,,,,,
            Boynton Beach,"65,814",680,6,4,223,447,"4,335",724,"3,130",481,,,,,,,
            Delray Beach,"64,728",672,3,24,155,490,"3,605",633,"2,626",346,,,,,,,
        Total area actually reporting,100.0%,"43,900",370,"1,894","13,864","27,772","258,846","50,879","174,942","33,025",,,,,,,
"        Rate per 100,000 inhabitants",,812.0,6.8,35.0,256.4,513.7,"4,787.9",941.1,"3,235.9",610.9,,,,,,,
"    Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.","1,769,810",,,, ,, ,,,,,,,,,,
        (Includes Broward County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"10,513",63,506,"3,520","6,424","64,006","13,013","43,933","7,060",,,,,,,
"            Rate per 100,000 inhabitants",,594.0,3.6,28.6,198.9,363.0,"3,616.5",735.3,"2,482.4",398.9,,,,,,,
"    Miami-Miami Beach-Kendall, FL M.D.","2,393,176",,,,,,,,,,,,,,,,
        (Includes Miami-Dade County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"24,424",218,901,"7,774","15,531","136,030","24,627","92,351","19,052",,,,,,,
"            Rate per 100,000 inhabitants",,"1,020.6",9.1,37.6,324.8,649.0,"5,684.1","1,029.1","3,858.9",796.1,,,,,,,
"    West Palm Beach-Boca Raton-Boynton Beach, FL M.D.","1,243,303",,,,,,,,,,,,,,,,
        (Includes Palm Beach County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"8,963",89,487,"2,570","5,817","58,810","13,239","38,658","6,913",,,,,,,
"            Rate per 100,000 inhabitants",,720.9,7.2,39.2,206.7,467.9,"4,730.1","1,064.8","3,109.3",556.0,,,,,,,
"Michigan City-La Porte, IN M.S.A.","110,622",,,,,,,,,,,,,,,,
    (Includes La Porte County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Michigan City,"32,554",122,3,14,51,54,"1,853",229,"1,472",152,,,,,,,
            La Porte,"21,210",47,2,3,16,26,"1,139",135,952,52,,,,,,,
        Total area actually reporting,96.7%,215,6,20,76,113,"3,901",515,"3,103",283,,,,,,,
        Estimated total,100.0%,228,6,21,79,122,"4,042",536,"3,211",295,,,,,,,
"        Rate per 100,000 inhabitants",,206.1,5.4,19.0,71.4,110.3,"3,653.9",484.5,"2,902.7",266.7,,,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.","3,108,818",,,,,,,,,,,,,,,,
"    (Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Minneapolis, MN","376,255","4,709",53,384,"2,246","2,026","18,913","4,757","10,507","3,649",,,,,,,
"            St. Paul, MN","282,709","2,408",20,219,678,"1,491","13,036","3,210","7,882","1,944",,,,,,,
"            Bloomington, MN","83,763",167,0,37,70,60,"3,226",350,"2,657",219,,,,,,,
"            Plymouth, MN","69,732",62,0,11,17,34,"1,609",358,"1,189",62,,,,,,,
"            Eagan, MN","64,532",71,1,9,33,28,"1,704",255,"1,369",80,,,,,,,
"            Eden Prairie, MN","59,959",53,0,19,7,27,"1,220",173,"1,005",42,,,,,,,
"            Minnetonka, MN","51,107",29,0,8,2,19,"1,215",272,895,48,,,,,,,
        Total area actually reporting,99.6%,"10,516",94,"1,236","3,736","5,450","104,855","18,179","76,258","10,418",,,,,,,
        Estimated total,100.0%,"10,534",94,"1,239","3,740","5,461","105,230","18,229","76,558","10,443",,,,,,,
"        Rate per 100,000 inhabitants",,338.8,3.0,39.9,120.3,175.7,"3,384.9",586.4,"2,462.6",335.9,,,,,,,
"Mobile, AL M.S.A.","402,361", ,,,,, ,,,,,,,,,,
    (Includes Mobile County.),,,,,,,,,,,,,,,,,
        City of Mobile2,"250,593","1,170",27,125,673,345,"16,417","3,844","11,270","1,303",,,,,,,
        Total area actually reporting,97.6%,"1,818",34,171,857,756,"22,728","5,804","15,037","1,887",,,,,,,
        Estimated total,100.0%,"1,859",34,174,871,780,"23,168","5,895","15,354","1,919",,,,,,,
"        Rate per 100,000 inhabitants",,462.0,8.5,43.2,216.5,193.9,"5,758.0","1,465.1","3,816.0",476.9,,,,,,,
"Modesto, CA M.S.A.","497,911", ,,,,, ,,,,,,,,,,
    (Includes Stanislaus County.),,,,,,,,,,,,,,,,,
        City of Modesto,"209,258","1,291",19,67,395,810,"14,372","1,857","9,623","2,892",,,,,,,
        Total area actually reporting,100.0%,"2,874",41,159,719,"1,955","30,200","5,304","18,548","6,348",,,,,,,
"        Rate per 100,000 inhabitants",,577.2,8.2,31.9,144.4,392.6,"6,065.3","1,065.3","3,725.2","1,274.9",,,,,,,
"Monroe, LA M.S.A.","171,602", ,,,,, ,,,,,,,,,,
    (Includes Ouachita and Union Parishes.),,,,,,,,,,,,,,,,,
        City of Monroe,"52,388",896,5,30,120,741,"5,143",978,"3,909",256,,,,,,,
        Total area actually reporting,98.0%,"1,358",9,60,163,"1,126","8,998","2,003","6,604",391,,,,,,,
        Estimated total,100.0%,"1,378",9,61,167,"1,141","9,199","2,034","6,763",402,,,,,,,
"        Rate per 100,000 inhabitants",,803.0,5.2,35.5,97.3,664.9,"5,360.7","1,185.3","3,941.1",234.3,,,,,,,
"Monroe, MI M.S.A.","151,161", ,,,,, ,,,,,,,,,,
    (Includes Monroe County.),,,,,,,,,,,,,,,,,
        City of Monroe,"21,700",81,0,20,10,51,646,132,471,43,,,,,,,
        Total area actually reporting,100.0%,306,0,69,36,201,"3,392",788,"2,325",279,,,,,,,
"        Rate per 100,000 inhabitants",,202.4,0.0,45.6,23.8,133.0,"2,244.0",521.3,"1,538.1",184.6,,,,,,,
"Montgomery, AL M.S.A.","354,841", ,,,,, ,,,,,,,,,,
"    (Includes Autauga, Elmore, Lowndes, and Montgomery Counties.)",,,,,,,,,,,,,,,,,
        City of Montgomery,"201,432","1,330",25,108,623,574,"13,757","3,734","8,777","1,246",,,,,,,
        Total area actually reporting,99.8%,"1,799",29,149,749,872,"18,742","5,051","12,171","1,520",,,,,,,
        Estimated total,100.0%,"1,802",29,149,750,874,"18,781","5,059","12,199","1,523",,,,,,,
"        Rate per 100,000 inhabitants",,507.8,8.2,42.0,211.4,246.3,"5,292.8","1,425.7","3,437.9",429.2,,,,,,,
"Morristown, TN M.S.A.","128,505", ,,,,, ,,,,,,,,,,
"    (Includes Grainger, Hamblen, and Jefferson Counties.)",,,,,,,,,,,,,,,,,
        City of Morristown,"25,399",156,1,8,35,112,"1,906",189,"1,572",145,,,,,,,
        Total area actually reporting,100.0%,471,4,27,63,377,"4,603",871,"3,326",406,,,,,,,
"        Rate per 100,000 inhabitants",,366.5,3.1,21.0,49.0,293.4,"3,582.0",677.8,"2,588.2",315.9,,,,,,,
"Mount Vernon-Anacortes, WA M.S.A.","110,523",,,,,,,,,,,,,,,,
    (Includes Skagit County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Mount Vernon,"28,265",88,1,22,30,35,"2,797",326,"2,341",130,,,,,,,
            Anacortes,"15,657",36,0,5,8,23,629,100,500,29,,,,,,,
        Total area actually reporting,100.0%,281,2,67,62,150,"7,477","1,288","5,724",465,,,,,,,
"        Rate per 100,000 inhabitants",,254.2,1.8,60.6,56.1,135.7,"6,765.1","1,165.4","5,179.0",420.7,,,,,,,
"Muncie, IN M.S.A.","118,283", ,,,,, ,,,,,,,,,,
    (Includes Delaware County.),,,,,,,,,,,,,,,,,
        City of Muncie,"66,971",337,7,116,82,132,"3,051",533,"2,343",175,,,,,,,
        Total area actually reporting,100.0%,412,7,139,88,178,"4,117",691,"3,168",258,,,,,,,
"        Rate per 100,000 inhabitants",,348.3,5.9,117.5,74.4,150.5,"3,480.6",584.2,"2,678.3",218.1,,,,,,,
"Muskegon-Norton Shores, MI M.S.A.","173,650",,,,,,,,,,,,,,,,
    (Includes Muskegon County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Muskegon,"39,954",451,1,63,70,317,"2,892",538,"2,116",238,,,,,,,
            Norton Shores,"23,268",53,1,8,10,34,"1,158",120,989,49,,,,,,,
        Total area actually reporting,99.4%,981,4,139,150,688,"8,472","1,521","6,287",664,,,,,,,
        Estimated total,100.0%,984,4,139,151,690,"8,504","1,526","6,310",668,,,,,,,
"        Rate per 100,000 inhabitants",,566.7,2.3,80.0,87.0,397.4,"4,897.2",878.8,"3,633.7",384.7,,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC M.S.A.","213,345",,,,,,,,,,,,,,,,
    (Includes Horry County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Myrtle Beach,"24,994",462,3,42,179,238,"5,529",930,"4,052",547,,,,,,,
            Conway,"12,692",129,1,8,38,82,"1,308",186,"1,069",53,,,,,,,
            North Myrtle Beach,"12,595",87,0,12,11,64,"1,515",285,"1,153",77,,,,,,,
        Total area actually reporting,100.0%,"1,866",13,137,411,"1,305","16,265","3,148","11,647","1,470",,,,,,,
"        Rate per 100,000 inhabitants",,874.6,6.1,64.2,192.6,611.7,"7,623.8","1,475.5","5,459.2",689.0,,,,,,,
"Napa, CA M.S.A.","133,125", ,,,,, ,,,,,,,,,,
    (Includes Napa County.),,,,,,,,,,,,,,,,,
        City of Napa,"76,432",328,2,28,37,261,"2,443",306,"1,911",226,,,,,,,
        Total area actually reporting,100.0%,451,3,50,58,340,"3,722",596,"2,690",436,,,,,,,
"        Rate per 100,000 inhabitants",,338.8,2.3,37.6,43.6,255.4,"2,795.9",447.7,"2,020.7",327.5,,,,,,,
"Naples-Marco Island, FL M.S.A.","293,002",,,,,,,,,,,,,,,,
    (Includes Collier County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Naples,"21,757",58,0,4,15,39,914,125,759,30,,,,,,,
            Marco Island,"15,752",7,0,1,0,6,286,70,195,21,,,,,,,
        Total area actually reporting,100.0%,"1,317",14,94,218,991,"6,834","1,550","4,868",416,,,,,,,
"        Rate per 100,000 inhabitants",,449.5,4.8,32.1,74.4,338.2,"2,332.4",529.0,"1,661.4",142.0,,,,,,,
"Nashville-Davidson--Murfreesboro, TN M.S.A.","1,385,202",,,,,,,,,,,,,,,,
"    (Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties.) ",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Nashville,"555,134","8,606",58,391,"2,125","6,032","36,086","6,829","25,134","4,123",,,,,,,
            Murfreesboro,"78,865",538,2,32,105,399,"3,571",599,"2,749",223,,,,,,,
        Total area actually reporting,100.0%,"12,085",83,674,"2,453","8,875","57,737","11,161","40,893","5,683",,,,,,,
"        Rate per 100,000 inhabitants",,872.4,6.0,48.7,177.1,640.7,"4,168.1",805.7,"2,952.1",410.3,,,,,,,
"New Orleans-Metairie-Kenner, LA M.S.A.","1,323,234",,,,,,,,,,,,,,,,
"    (Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. John the Baptist, and St. Tammany Parishes.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            New Orleans,"471,057","4,467",264,189,"1,836","2,178","24,316","5,238","12,544","6,534",,,,,,,
            Kenner,"70,505",310,6,23,80,201,"2,988",455,"2,166",367,,,,,,,
        Total area actually reporting,99.8%,"8,898",338,483,"2,940","5,137","58,430","11,613","36,311","10,506",,,,,,,
        Estimated total,100.0%,"8,910",338,484,"2,942","5,146","58,557","11,633","36,411","10,513",,,,,,,
"        Rate per 100,000 inhabitants",,673.4,25.5,36.6,222.3,388.9,"4,425.3",879.1,"2,751.7",794.5,,,,,,,
"New York-Northern New Jersey-Long Island, NY-NJ-PA M.S.A.","18,709,053",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Edison, NJ; Nassau-Suffolk County, NY; Newark-Union, NJ-PA; and New York-Wayne-White Plains, NY-NJ.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            New York, NY","8,101,321","55,688",570,"1,428","24,373","29,317","171,188","26,100","124,016","21,072",,,,,,,
"            Newark, NJ","279,857","2,867",84,73,"1,345","1,365","13,199","2,159","5,252","5,788",,,,,,,
"            Edison Township, NJ","100,839",215,2,7,68,138,"2,455",394,"1,774",287,,,,,,,
"            Union Township, NJ","56,026",200,0,12,108,80,"1,660",240,"1,151",269,,,,,,,
"            White Plains, NY","56,008",213,0,6,69,138,"1,439",86,"1,288",65,,,,,,,
"            Wayne Township, NJ","55,649",32,0,0,13,19,"1,293",115,"1,060",118,,,,,,,
        Total area actually reporting,99.9%,"85,656",930,"2,611","37,251","44,864","387,000","63,843","270,927","52,230",,,,,,,
        Estimated total,100.0%,"85,794",931,"2,620","37,298","44,945","388,492","64,051","272,123","52,318",,,,,,,
"        Rate per 100,000 inhabitants",,458.6,5.0,14.0,199.4,240.2,"2,076.5",342.4,"1,454.5",279.6,,,,,,,
"    Edison, NJ M.D.","2,286,850",, ,,,,,,,,,,,,,,
"        (Includes Middlesex, Monmouth, Ocean, and Somerset Counties.)",,,,,, , ,,,,,,,,,,
            Total area actually reporting,100.0%,"4,251",51,252,"1,424","2,524","43,220","8,086","32,164","2,970",,,,,,,
"            Rate per 100,000 inhabitants",,185.9,2.2,11.0,62.3,110.4,"1,889.9",353.6,"1,406.5",129.9,,,,,,,
"    Nassau-Suffolk, NY M.D.","2,812,909",,,,,,,,,,,,,,,,
        (Includes Nassau and Suffolk Counties.),,,,,,,,,,,,,,,,,
            Total area actually reporting,99.3%,"5,317",52,236,"1,990","3,039","48,520","7,143","36,261","5,116",,,,,,,
            Estimated total,100.0%,"5,353",52,238,"2,003","3,060","48,917","7,198","36,580","5,139",,,,,,,
"            Rate per 100,000 inhabitants",,190.3,1.8,8.5,71.2,108.8,"1,739.0",255.9,"1,300.4",182.7,,,,,,,
"    Newark-Union, NJ-PA M.D.","2,155,190",,,,,,,,,,,,,,,,
"        (Includes Essex, Hunterdon, Morris, Sussex, and Union Counties, NJ and Pike County, PA.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,99.6%,"9,437",167,322,"4,541","4,407","56,550","10,680","31,444","14,426",,,,,,,
            Estimated total,100.0%,"9,455",167,323,"4,546","4,419","56,717","10,704","31,576","14,437",,,,,,,
"            Rate per 100,000 inhabitants",,438.7,7.7,15.0,210.9,205.0,"2,631.6",496.7,"1,465.1",669.9,,,,,,,
"    New York-White Plains-Wayne, NY-NJ M.D.","11,454,104",,,,,,,,,,,,,,,,
"        (Includes Bergen, Hudson, and Passaic Counties, NJ and Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties, NY.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,99.6%,"66,651",660,"1,801","29,296","34,894","238,710","37,934","171,058","29,718",,,,,,,
            Estimated total,100.0%,"66,735",661,"1,807","29,325","34,942","239,638","38,063","171,803","29,772",,,,,,,
"            Rate per 100,000 inhabitants",,582.6,5.8,15.8,256.0,305.1,"2,092.2",332.3,"1,499.9",259.9,,,,,,,
"Niles-Benton Harbor, MI M.S.A.","163,293",,,,,,,,,,,,,,,,
    (Includes Berrien County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Niles,"11,945",98,0,21,21,56,609,94,478,37,,,,,,,
            Benton Harbor,"11,046",331,3,19,37,272,799,305,411,83,,,,,,,
        Total area actually reporting,99.6%,859,5,128,107,619,"4,975","1,068","3,587",320,,,,,,,
        Estimated total,100.0%,860,5,128,107,620,"4,992","1,071","3,599",322,,,,,,,
"        Rate per 100,000 inhabitants",,526.7,3.1,78.4,65.5,379.7,"3,057.1",655.9,"2,204.0",197.2,,,,,,,
"Norwich-New London, CT M.S.A.","140,481",,,,,,,,,,,,,,,,
    (Includes New London County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Norwich,"36,437",166,4,28,49,85,"1,065",222,761,82,,,,,,,
            New London,"26,353",209,2,20,57,130,893,173,627,93,,,,,,,
        Total area actually reporting,100.0%,533,9,103,144,277,"3,767",627,"2,904",236,,,,,,,
"        Rate per 100,000 inhabitants",,379.4,6.4,73.3,102.5,197.2,"2,681.5",446.3,"2,067.2",168.0,,,,,,,
"Ocala, FL M.S.A.","286,515", ,,,,, ,,,,,,,,,,
    (Includes Marion County.),,,,,,,,,,,,,,,,,
        City of Ocala,"48,986",608,3,32,134,439,"3,729",860,"2,632",237,,,,,,,
        Total area actually reporting,100.0%,"2,018",17,167,208,"1,626","8,794","2,405","5,730",659,,,,,,,
"        Rate per 100,000 inhabitants",,704.3,5.9,58.3,72.6,567.5,"3,069.3",839.4,"1,999.9",230.0,,,,,,,
"Ocean City, NJ M.S.A. ","102,558", ,,,,, ,,,,,,,,,,
    (Includes Cape May County.),,,,,,,,,,,,,,,,,
        City of Ocean City,"15,667",40,0,0,13,27,986,170,803,13,,,,,,,
        Total area actually reporting,100.0%,373,3,27,78,265,"4,544",975,"3,414",155,,,,,,,
"        Rate per 100,000 inhabitants",,363.7,2.9,26.3,76.1,258.4,"4,430.7",950.7,"3,328.8",151.1,,,,,,,
"Odessa, TX M.S.A.","124,753", ,,,,, ,,,,,,,,,,
    (Includes Ector County.),,,,,,,,,,,,,,,,,
        City of Odessa,"92,643",561,2,16,87,456,"3,976",895,"2,865",216,,,,,,,
        Total area actually reporting,100.0%,639,3,19,94,523,"5,363","1,145","3,929",289,,,,,,,
"        Rate per 100,000 inhabitants",,512.2,2.4,15.2,75.3,419.2,"4,298.9",917.8,"3,149.4",231.7,,,,,,,
"Ogden-Clearfield, UT M.S.A.","476,435",,,,,,,,,,,,,,,,
"    (Includes Davis, Morgan, and Weber Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Ogden,"79,544",349,4,34,107,204,"5,149",802,"3,921",426,,,,,,,
            Clearfield,"27,580",50,0,15,7,28,790,122,619,49,,,,,,,
        Total area actually reporting,98.7%,831,7,143,188,493,"15,052","2,355","11,698",999,,,,,,,
        Estimated total,100.0%,843,7,145,191,500,"15,303","2,392","11,894","1,017",,,,,,,
