Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
"    (Includes Crawford and Sebastian Counties, AR and Sequoyah County, OK.)",,,, ,,,,,,,,,,,,,
"         City of Fort Smith, AR","81,369","7,498",,714,"6,784",8,52,152,502,"1,183","5,296",305,,,,,
         Total area actually reporting,100.0%,"10,200",,"1,122","9,078",13,73,163,873,"1,745","6,854",479,,,,,
"         Rate per 100,000 inhabitants",,"4,855.2", ,534.1,"4,321.1",6.2,34.7,77.6,415.5,830.6,"3,262.5",228.0,,,,,
"Fort Walton Beach, FL M.S.A.","178,294",,,,,,,,,,,,,,,,
    (Includes Okaloosa County.),,,, , , , , , , , , ,,,,,
         City of Fort Walton Beach,"20,887",879,,109,770,0,11,15,83,130,594,46,,,,,
         Total area actually reporting,100.0%,"5,449",,616,"4,833",4,58,108,446,911,"3,644",278,,,,,
"         Rate per 100,000 inhabitants",,"3,056.2", ,345.5,"2,710.7",2.2,32.5,60.6,250.1,511.0,"2,043.8",155.9, ,,,,
"Fort Wayne, IN M.S.A.","508,631",,,,,,,,,,,,,,,,
"    (Includes Adams, Allen, DeKalb, Huntington, Wells, and Whitley Counties.)",,,,, , , , , , , , ,,,,,
         City of Fort Wayne,"208,386","12,152",,846,"11,306",24,113,454,255,"2,030","8,268","1,008",,,,,
         Total area actually reporting,84.7%,"16,442",,"1,088","15,354",28,153,529,378,"2,838","11,214","1,302",,,,,
         Estimated total,100.0%,"18,166",,"1,221","16,945",29,167,550,475,"3,173","12,333","1,439",,,,,
"         Rate per 100,000 inhabitants",,"3,571.5",,240.1,"3,331.5",5.7,32.8,108.1,93.4,623.8,"2,424.7",282.9,,,,,
"Fort Worth-Arlington, TX M.S.A.","1,778,405",,,,,,,,,,,,,,,,
"    (Includes Hood, Johnson, Parker, and Tarrant Counties.)",,, , ,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Fort Worth,"558,447","44,797",,"4,243","40,554",53,321,"1,648","2,221","9,736","26,881","3,937",,,,,
            Arlington,"347,789","23,594",,"2,202","21,392",14,152,794,"1,242","3,638","15,746","2,008",,,,,
         Total area actually reporting,100.0%,"102,500",,"8,608","93,892",89,713,"2,859","4,947","19,809","65,783","8,300",,,,,
"         Rate per 100,000 inhabitants", ,"5,763.6",,484.0,"5,279.6",5.0,40.1,160.8,278.2,"1,113.9","3,699.0",466.7,,,,,
"Fresno, CA M.S.A.3","956,408",,,,,,,,,,,,,,,,
    (Includes Fresno and Madera Counties.),, ,,,,,,,,,,, ,,,,
         City of: ,,,,,,,,,,,,,,,,,
            Fresno,"443,363","33,909",,"3,780","30,129",42,158,"1,479","2,101","4,476","18,478","7,175",,,,,
            Madera,"44,795","2,605",,475,"2,130",5,21,104,345,426,"1,320",384,,,,,
         Total area actually reporting,100.0%,"54,884",,"5,855","49,029",69,314,"1,921","3,551","8,799","29,875","10,355",,,,,
"         Rate per 100,000 inhabitants",,"5,738.6",,612.2,"5,126.4",7.2,32.8,200.9,371.3,920.0,"3,123.7","1,082.7",,,,,
"Gadsden, AL M.S.A.","104,375",, ,,,, ,,,,,,,,,,
     (Includes Etowah County.),, , ,,,,,,,,,,,,,,
          City of Gadsden,"39,323","3,934",,716,"3,218",4,31,97,584,741,"2,170",307,,,,,
          Total area actually reporting,100.0%,"5,421",,805,"4,616",5,37,104,659,"1,071","3,178",367,,,,,
"          Rate per 100,000 inhabitants",,"5,193.8",,771.3,"4,422.5",4.8,35.4,99.6,631.4,"1,026.1","3,044.8",351.6,,,,,
"Gainesville, FL M.S.A.","227,920",,,,,,,,,,,,,,,,
    (Includes Alachua County.),,,,, , , , , , , , ,,,,,
         City of Gainesville,"99,811","6,016",,765,"5,251",7,65,185,508,"1,248","3,530",473,,,,,
         Total area actually reporting,100.0%,"12,955",,"1,863","11,092",7,160,335,"1,361","2,768","7,429",895, ,,,,
"         Rate per 100,000 inhabitants",,"5,684.0",,817.4,"4,866.6",3.1,70.2,147.0,597.1,"1,214.5","3,259.5",392.7,,,,,
"Gary, IN M.S.A.","639,521",,,,,,,,,,,,,,,,
    (Includes Lake and Porter Counties.),,, ,,,,,,,,,,,,,,
        City of:,,,,,,,,, ,,,,,,,,
            Gary,"104,074","5,812",,757,"5,055",60,58,420,219,"1,543","2,271","1,241",,,,,
            East Chicago,"32,833","2,489",,642,"1,847",11,11,107,513,380,"1,058",409,,,,,
         Total area actually reporting,96.7%,"25,818",,"2,735","23,083",94,131,955,"1,555","4,121","15,404","3,558",,,,,
         Estimated total,100.0%,"26,747", ,"2,796","23,951",95,136,972,"1,593","4,241","16,081","3,629",,,,,
"         Rate per 100,000 inhabitants",,"4,182.3", ,437.2,"3,745.1",14.9,21.3,152.0,249.1,663.2,"2,514.5",567.5,,,,,
"Glens Falls, NY M.S.A.","125,531",, ,,,,,,,,,,,,,,
    (Includes Warren and Washington Counties.),,,,, , , , , , , , ,,,,,
         City of Glens Falls,"14,491",668,,36,632,0,2,4,30,117,502,13,,,,,
         Total area actually reporting,96.2%,"2,938",,316,"2,622",3,37,9,267,487,"2,075",60,,,,,
         Estimated total,100.0%,"3,053",,326,"2,727",3,38,12,273,502,"2,158",67, ,,,,
"         Rate per 100,000 inhabitants",,"2,432.1",,259.7,"2,172.4",2.4,30.3,9.6,217.5,399.9,"1,719.1",53.4,,,,,
"Goldsboro, NC M.S.A.","117,143",, ,,,,,,,,,,,,,,
    (Includes Wayne County.),,,,, , , , , , , , ,,,,,
         City of Goldsboro,"40,357","3,219",,316,"2,903",6,3,90,217,664,"2,048",191,,,,,
         Total area actually reporting,99.8%,"5,789",,518,"5,271",9,7,122,380,"1,530","3,423",318,,,,,
         Estimated total,100.0%,"5,804",,519,"5,285",9,7,122,381,"1,533","3,433",319, ,,,,
"         Rate per 100,000 inhabitants",,"4,954.6",,443.0,"4,511.6",7.7,6.0,104.1,325.2,"1,308.7","2,930.6",272.3,,,,,
"Grand Forks, ND-MN M.S.A.","97,284",,,,,,,,,,,,,,,,
"    (Includes Grand Forks County, ND and Polk County, MN.)",,,,,,,,,,,,,,,,,
"         City of Grand Forks, ND","48,700","2,442",,60,"2,382",0,15,7,38,342,"1,859",181,,,,,
         Total area actually reporting,97.5%,"3,725",,143,"3,582",0,52,13,78,575,"2,756",251,,,,,
         Estimated total,100.0%,"3,823",,145,"3,678",0,53,13,79,590,"2,832",256,,,,,
"         Rate per 100,000 inhabitants",,"3,929.7",,149.0,"3,780.7",0.0,54.5,13.4,81.2,606.5,"2,911.1",263.1,,,,,
"Grand Junction, CO M.S.A.","121,803",,,,,,,,,,,,,,,,
    (Includes Mesa County.),,,, ,,,,,,,,,,,,,
         City of Grand Junction,"43,989","2,617",,151,"2,466",0,19,18,114,372,"1,952",142,,,,,
         Total area actually reporting,94.1%,"3,919",,225,"3,694",1,20,22,182,665,"2,786",243,,,,,
         Estimated total,100.0%,"4,298",,253,"4,045",1,24,29,199,716,"3,035",294,,,,,
"         Rate per 100,000 inhabitants", ,"3,528.6",,207.7,"3,320.9",0.8,19.7,23.8,163.4,587.8,"2,491.7",241.4, ,,,,
"Grand Rapids-Muskegon-Holland, MI M.S.A.3","1,100,780",, ,,,,,,,,,,,,,,
"    (Includes Allegan, Kent, Muskegon, and Ottawa Counties.)",,,,,,,,,,,,,,,,,
         City of: ,,,,,,,,,,,,,,,,,
            Grand Rapids3,"200,029","11,292",,"2,179","9,113",8,75,508,"1,588","2,309","6,124",680,,,,,
            Muskegon,"40,557","3,482",,466,"3,016",4,58,83,321,471,"2,135",410,,,,,
            Holland,"35,443","1,309",,109,"1,200",0,26,7,76,208,944,48,,,,,
         Total area actually reporting,99.9%,"41,376",,"4,923","36,453",23,557,824,"3,519","7,916","25,811","2,726",,,,,
         Estimated total,100.0%,"41,395",,"4,924","36,471",23,557,824,"3,520","7,919","25,824","2,728",,,,,
"         Rate per 100,000 inhabitants",,"3,760.5",,447.3,"3,313.2",2.1,50.6,74.9,319.8,719.4,"2,346.0",247.8,,,,,
"Great Falls, MT M.S.A.","81,004",,,,,,,,,,,,,,,,
    (Includes Cascade County.),,,,, , , , , , , , ,,,,,
         City of Great Falls,"57,146","4,529",,267,"4,262",4,16,32,215,333,"3,765",164,,,,,
         Total area actually reporting,100.0%,"5,044", ,316,"4,728",4,21,37,254,373,"4,162",193,,,,,
"         Rate per 100,000 inhabitants",,"6,226.9",  ,390.1,"5,836.7",4.9,25.9,45.7,313.6,460.5,"5,138.0",238.3,, ,,,
"Greeley, CO M.S.A.","189,571", ,  , ,,,,,,,,,,,,,
    (Includes Weld County.),,,,, , , , , , , , ,  ,,,,
         City of Greeley,"80,601","5,275",,315,"4,960",1,55,49,210,637,"3,972",351,,,,,
         Total area actually reporting,90.0%,"8,203",,595,"7,608",8,113,68,406,"1,374","5,615",619,,,,,
         Estimated total,100.0%,"9,202",,668,"8,534",9,122,85,452,"1,508","6,273",753, ,,,,
"         Rate per 100,000 inhabitants",,"4,854.1",,352.4,"4,501.7",4.7,64.4,44.8,238.4,795.5,"3,309.1",397.2,,,,,
"Green Bay, WI M.S.A.","230,055",,,,,,,,,,,,,,,,
    (Includes Brown County.),,,,,,,,,,,,,,,,,
         City of Green Bay,"103,791 ","3,762",,389,"3,373",1,63,73,252,635,"2,468",270,,,,,
         Total area actually reporting,100.0%,"6,654",,459,"6,195",4,81,86,288,"1,070","4,740",385,,,,,
"         Rate per 100,000 inhabitants",,"2,892.4",,199.5,"2,692.8",1.7,35.2,37.4,125.2,465.1,"2,060.4",167.4,,,,,
"Greensboro--Winston-Salem--High Point, NC M.S.A.","1,293,618",,,,,,,,,,,,,,,,
"    (Includes Alamance, Davidson, Davie, Forsyth, Guilford, Randolph, Stokes, and Yadkin Counties.)",,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,
            Greensboro,"231,424","15,128",,"1,639","13,489",28,103,702,806,"2,946","9,392","1,151", ,,,,
            Winston-Salem,"192,027","14,669",,"1,614","13,055",15,116,549,934,"3,311","8,757",987,,,,,
            High Point,"88,727","6,413",,700,"5,713",5,37,269,389,"1,483","3,641",589,,,,,
            Burlington,"46,428","3,722",,293,"3,429",4,12,82,195,726,"2,542",161,,,,,
         Total area actually reporting,99.2%,"63,274",,"5,767","57,507",81,376,"1,902","3,408","14,145","39,360","4,002",,,,,
         Estimated total,100.0%,"63,859",,"5,807","58,052",81,378,"1,914","3,434","14,259","39,766","4,027",,,,,
"         Rate per 100,000 inhabitants",,"4,936.5",,448.9,"4,487.6",6.3,29.2,148.0,265.5,"1,102.3","3,074.0",311.3,,,,,
"Greenville, NC M.S.A.","138,300", ,,,,,,,,,,, ,,,,
    (Includes Pitt County.),,,,, , , , , , , , ,,,,,
         City of Greenville,"62,511","5,225",,557,"4,668",4,24,208,321,"1,204","3,226",238,,,,,
         Total area actually reporting,100.0%,"8,451",,889,"7,562",12,38,271,568,"2,027","5,154",381,,,,,
"         Rate per 100,000 inhabitants",,"6,110.6",,642.8,"5,467.8",8.7,27.5,196.0,410.7,"1,465.7","3,726.7",275.5,,,,,
"Greenville-Spartanburg-Anderson, SC M.S.A.","985,271",, ,,,,,,,,,,,,,,
"    (Includes Anderson, Cherokee, Greenville, Pickens, and Spartanburg Counties.)",,,,,,,,,,,,,,,,,
        City of:,, ,,,,,,,,,,,,,,,
            Greenville,"57,331","4,652",,672,"3,980",9,45,172,446,622,"3,075",283, ,,,,
            Spartanburg,"40,615","4,582",,778,"3,804",3,22,152,601,727,"2,754",323,,,,,
            Anderson,"26,120","1,758",,238,"1,520",3,10,49,176,331,"1,051",138,,,,,
         Total area actually reporting,99.9%,"46,484",,"6,971","39,513",63,454,"1,149","5,305","9,181","26,945","3,387",,,,,
         Estimated total,100.0%,"46,562",,"6,980","39,582",63,454,"1,151","5,312","9,193","26,997","3,392",,,,,
"         Rate per 100,000 inhabitants",,"4,725.8",,708.4,"4,017.4",6.4,46.1,116.8,539.1,933.0,"2,740.1",344.3,,,,,
"Hagerstown, MD M.S.A.","135,950", ,,,,,,,,,,,,,,,
    (Includes Washington County.),,,,,,,,,,,,,,,,,
         City of Hagerstown,"37,807","1,764",,240,"1,524",2,10,90,138,345,"1,047",132,,,,,
         Total area actually reporting,100.0%,"3,600",,473,"3,127",6,29,111,327,759,"2,115",253,,,,,
"         Rate per 100,000 inhabitants",,"2,648.0",,347.9,"2,300.1",4.4,21.3,81.6,240.5,558.3,"1,555.7",186.1,,,,,
"Hamilton-Middletown, OH M.S.A.","334,804",,,,,,,,,,,,,,,,
    (Includes Butler County.),, ,,, , , , , , , , ,,,,,
        City of:,,,,, , , , ,, , , ,,,,,
            Hamilton,"61,054","5,513",,569,"4,944",4,73,189,303,"1,129","3,362",453,,,,,
            Middletown,"49,871","3,607",,161,"3,446",1,19,74,67,600,"2,710",136,,,,,
         Total area actually reporting,88.7%,"15,501",,"1,154","14,347",6,148,336,664,"2,873","10,579",895,,,,,
         Estimated total,100.0%,"16,676",,"1,216","15,460",7,157,359,693,"3,054","11,434",972,,,,,
"         Rate per 100,000 inhabitants",,"4,980.8", ,363.2,"4,617.6",2.1,46.9,107.2,207.0,912.2,"3,415.1",290.3,,,,,
"Harrisburg-Lebanon-Carlisle, PA M.S.A.","632,171",,,,,,,,,,,,,,,,
"    (Includes Cumberland, Dauphin, Lebanon, and Perry Counties.)",,,,,,,,,,, ,,,,,,
        City of:,,,,,, ,,,,,,,,,,,
            Harrisburg,"49,165 ","2,928",,670,"2,258",12,40,345,273,577,"1,575",106,,,,,
            Lebanon,"24,569 ","1,275",,164,"1,111",1,16,59,88,186,843,82,,,,,
            Carlisle,"18,049 ",558,,41,517,1,7,16,17,68,431,18,,,,,
         Total area actually reporting,91.5%,"14,938",,"1,694","13,244",23,209,629,833,"2,285","10,310",649,,,,,
         Estimated total,100.0%,"16,205",,"1,815","14,390",24,218,660,913,"2,450","11,205",735,,,,,
"         Rate per 100,000 inhabitants",,"2,563.4",,287.1,"2,276.3",3.8,34.5,104.4,144.4,387.6,"1,772.5",116.3,,,,,
"Hartford, CT M.S.A.","992,269",,,,,,,,,,,,,,,,
"    (Includes part of Hartford, Litchfield, Middlesex, New London, Tolland, and Windham Counties.)",,,,,,,,,,,,, ,,,,
        City of:,,,,, , , , ,, , , ,,,,,
            Hartford,"123,540","10,870",,"1,547","9,323",25,57,891,574,"1,572","5,571","2,180",,,,,
            Middletown,"43,863","1,108",,52,"1,056",0,2,20,30,148,792,116,,,,,
         Total area actually reporting,100.0%,"33,997",,"3,149","30,848",30,195,"1,480","1,444","4,996","21,310","4,542",,,,,
"         Rate per 100,000 inhabitants",,"3,426.2",,317.4,"3,108.8",3.0,19.7,149.2,145.5,503.5,"2,147.6",457.7,,,,,
"Hattiesburg, MS M.S.A.","112,739",,,,,,,,,,,,,,,,
    (Includes Forrest and Lamar Counties.),,,,,, ,,,,,,,,,,,
         City of Hattiesburg,"45,206","3,526",,239,"3,287",10,17,149,63,770,"2,358",159,,,,,
         Total area actually reporting,79.8%,"4,353",,285,"4,068",11,28,168,78,991,"2,849",228,,,,,
         Estimated total,100.0%,"4,952",,322,"4,630",13,34,174,101,"1,150","3,204",276,,,,,
"         Rate per 100,000 inhabitants",,"4,392.4", ,285.6,"4,106.8",11.5,30.2,154.3,89.6,"1,020.1","2,842.0",244.8,,,,,
"Hickory-Morganton-Lenoir, NC M.S.A.","353,354", ,,,,,, ,,,,,,,,,
"    (Includes Alexander, Burke, Caldwell, and Catawba Counties.)",,, , ,,,,, ,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Hickory,"38,474","3,143",,227,"2,916",3,20,71,133,482,"2,275",159,,,,,
            Morganton,"17,892",864,,33,831,0,6,18,9,175,622,34,,,,,
            Lenoir,"17,358",708,,46,662,1,1,24,20,131,501,30,,,,,
         Total area actually reporting,99.4%,"12,312",,829,"11,483",16,56,187,570,"3,160","7,703",620,,,,,
         Estimated total,100.0%,"12,425",,836,"11,589",16,56,189,575,"3,182","7,782",625,,,,,
"         Rate per 100,000 inhabitants",,"3,516.3",,236.6,"3,279.7",4.5,15.8,53.5,162.7,900.5,"2,202.3",176.9,,,,,
"Honolulu, HI M.S.A.","900,433", ,,,,,,,,,,, ,,,,
    (Includes Honolulu County.),,, , , ,,,,,,,,,,,,
         City of Honolulu,"900,433","57,271",,"2,601","54,670",18,304,"1,072","1,207","8,932","37,250","8,488",,,,,
         Total area actually reporting,100.0%,"57,271",,"2,601","54,670",18,304,"1,072","1,207","8,932","37,250","8,488",,,,,
"         Rate per 100,000 inhabitants",,"6,360.4",,288.9,"6,071.5",2.0,33.8,119.1,134.0,992.0,"4,136.9",942.7,,,,,
"Houma, LA M.S.A.","195,072",,,,,,,,,,,,,,,,
    (Includes Lafourche and Terrebonne Parishes.),,,,,, ,,,,,,,,,,,
         City of Houma,"32,492","2,125",,386,"1,739",0,28,70,288,335,"1,304",100,,,,,
         Total area actually reporting,98.7%,"8,705",,986,"7,719",6,79,150,751,"1,809","5,512",398,,,,,
         Estimated total,100.0%,"8,857",,"1,002","7,855",6,80,153,763,"1,836","5,613",406,,,,,
"         Rate per 100,000 inhabitants",,"4,540.4", ,513.7,"4,026.7",3.1,41.0,78.4,391.1,941.2,"2,877.4",208.1,,,,,
"Houston, TX M.S.A.","4,363,586",,,,,,,,,,,, ,,,,
"    (Includes Chambers, Fort Bend, Harris, Liberty, Montgomery, and Waller Counties.)",,,, , , , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Houston,"2,040,583","149,247",,"24,958","124,289",256,892,"11,212","12,598","26,905","73,445","23,939",,,,,
            Baytown,"69,387","3,303",,245,"3,058",2,33,79,131,617,"2,159",282,,,,,
            Conroe,"38,450","3,044",,353,"2,691",2,25,139,187,540,"1,973",178,,,,,
         Total area actually reporting,99.9%,"240,211",,"35,529","204,682",365,"1,584","14,053","19,527","45,475","126,398","32,809",,,,,
         Estimated total,100.0%,"240,233",,"35,530","204,703",365,"1,584","14,053","19,528","45,479","126,413","32,811",,,,,
"         Rate per 100,000 inhabitants",,"5,505.4", ,814.2,"4,691.2",8.4,36.3,322.1,447.5,"1,042.2","2,897.0",751.9,,,,,
"Huntsville, AL M.S.A.","345,410",,,,,,,,,,,,,,,,
    (Includes Limestone and Madison Counties.),,, ,,,,,,,,,, ,,,,
         City of Huntsville,"159,618","10,167",,961,"9,206",5,82,315,559,"1,714","6,718",774,,,,,
         Total area actually reporting,99.9%,"14,637",,"1,253","13,384",14,117,383,739,"2,721","9,575","1,088",,,,,
         Estimated total,100.0%,"14,659",,"1,255","13,404",14,117,384,740,"2,725","9,590","1,089",,,,,
"         Rate per 100,000 inhabitants",,"4,243.9", ,363.3,"3,880.6",4.1,33.9,111.2,214.2,788.9,"2,776.4",315.3,,,,,
"Iowa City, IA M.S.A.","111,402",,,,,,,,,,,,,,,,
    (Includes Johnson County.),,,, , , , , , , , , ,,,,,
         City of Iowa City,"62,442","2,194",,344,"1,850",0,39,44,261,312,"1,465",73,,,,,
         Total area actually reporting,100.0%,"3,854",,477,"3,377",0,53,58,366,562,"2,679",136, ,,,,
"         Rate per 100,000 inhabitants",,"3,459.5",,428.2,"3,031.4",0.0,47.6,52.1,328.5,504.5,"2,404.8",122.1,,,,,
"Jackson, MI M.S.A.","160,207",,,,,,,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,
         City of Jackson,"37,819","2,821",,445,"2,376",5,43,76,321,426,"1,764",186,,,,,
         Total area actually reporting,95.6%,"5,842",,772,"5,070",8,114,95,555,"1,022","3,613",435,,,,,
         Estimated total,100.0%,"6,082",,793,"5,289",8,116,99,570,"1,060","3,770",459, ,,,,
"         Rate per 100,000 inhabitants",,"3,796.3",,495.0,"3,301.4",5.0,72.4,61.8,355.8,661.6,"2,353.2",286.5,,,,,
"Jackson, MS M.S.A.","445,012",,,,,,,,,,,,,,,,
"    (Includes Hinds, Madison, and Rankin Counties.)",,,,,,,,,,,,,,,,,
         City of Jackson,"186,012","17,648",,"1,802","15,846",49,182,"1,074",497,"4,377","8,669","2,800",,,,,
         Total area actually reporting,81.3%,"23,208",,"2,190","21,018",59,270,"1,177",684,"5,571","12,341","3,106",,,,,
         Estimated total,100.0%,"26,515",,"2,388","24,127",64,304,"1,237",783,"6,280","14,503","3,344",,,,,
"         Rate per 100,000 inhabitants",,"5,958.3",,536.6,"5,421.7",14.4,68.3,278.0,176.0,"1,411.2","3,259.0",751.4,,,,,
"Jackson, TN M.S.A.","109,415",,,,,,,,,,,,,,,,
    (Includes Chester and Madison Counties.),,,,, , , , , , , , ,,,,,
         City of Jackson,"60,775","4,661",,685,"3,976",3,38,182,462,836,"2,788",352,,,,,
         Total area actually reporting,100.0%,"6,033",,895,"5,138",6,57,191,641,"1,151","3,531",456,,,,,
"         Rate per 100,000 inhabitants",,"5,513.9",,818.0,"4,695.9",5.5,52.1,174.6,585.8,"1,052.0","3,227.2",416.8,,,,,
"Jacksonville, FL M.S.A.","1,150,811",,,,,,,,,,,,,,,,
"    (Includes Clay, Duval, Nassau, and St. Johns Counties.)",,,,,,,,,,,,,,,,,
         City of Jacksonville,"769,253","51,021",,"7,043","43,978",90,277,"2,016","4,660","9,173","29,391","5,414",,,,,
         Total area actually reporting,90.1%,"61,789",,"8,888","52,901",97,364,"2,213","6,214","11,129","35,701","6,071",,,,,
         Estimated total,100.0%,"66,995",,"9,633","57,362",102,410,"2,363","6,758","12,198","38,604","6,560",,,,,
"         Rate per 100,000 inhabitants",,"5,821.5",,837.1,"4,984.5",8.9,35.6,205.3,587.2,"1,059.9","3,354.5",570.0,,,,,
"Jacksonville, NC M.S.A.","155,414",,,,,,,,,,,,,,,,
    (Includes Onslow County.),,,,,,,,,,,,,,,,,
         City of Jacksonville,"68,960",955,,130,825,3,11,19,97,88,709,28,,,,,
         Total area actually reporting,99.4%,"3,814",,262,"3,552",5,49,48,160,943,"2,244",365,,,,,
         Estimated total,100.0%,"3,864",,265,"3,599",5,49,49,162,953,"2,279",367,,,,,
"         Rate per 100,000 inhabitants",,"2,486.3",,170.5,"2,315.8",3.2,31.5,31.5,104.2,613.2,"1,466.4",236.1,,,,,
"Jamestown, NY M.S.A.","141,084",,,,,,,,,,,,,,,,
    (Includes Chautauqua County.),,,,, , , , , , , , ,,,,,
         City of Jamestown,"32,032","1,258",,162,"1,096",1,11,40,110,269,762,65,,,,,
         Total area actually reporting,100.0%,"3,527",,336,"3,191",2,29,57,248,653,"2,407",131,,,,,
"         Rate per 100,000 inhabitants",,"2,499.9",,238.2,"2,261.8",1.4,20.6,40.4,175.8,462.8,"1,706.1",92.9,,,,,
"Janesville-Beloit, WI M.S.A.","154,508",,,,,,,,,,,,,,,,
    (Includes Rock County.),,, ,,, ,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Janesville,"60,358 ","3,499",,147,"3,352",1,15,52,79,497,"2,714",141,,,,,
            Beloit,"36,292 ","2,144",,139,"2,005",0,17,52,70,263,"1,626",116,,,,,
         Total area actually reporting,100.0%,"6,791",,369,"6,422",1,40,114,214,"1,050","5,055",317,,,,,
"         Rate per 100,000 inhabitants",,"4,395.2",,238.8,"4,156.4",0.6,25.9,73.8,138.5,679.6,"3,271.7",205.2,,,,,
"Jersey City, NJ M.S.A.","621,709",,,,,,,,,,,,,,,,
    (Includes Hudson County.),,, ,, , , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Jersey City,"245,075 ","12,182",,"2,907","9,275",21,86,"1,381","1,419","2,285","4,694","2,296",,,,,
            Bayonne,"63,135 ","1,099",,208,891,4,3,93,108,186,584,121,,,,,
         Total area actually reporting,100.0%,"23,157",,"4,177","18,980",30,108,"1,972","2,067","4,193","10,527","4,260",,,,,
"         Rate per 100,000 inhabitants",,"3,724.7",,671.9,"3,052.9",4.8,17.4,317.2,332.5,674.4,"1,693.2",685.2,,,,,
"Johnson City-Kingsport-Bristol,TN-VA M.S.A.","490,253",,,,,,,,,,,,,,,,
"    (Includes Carter, Hawkins, Sullivan, Unicoi, and Washington Counties, TN and Bristol City and Scott and Washington Counties, VA.)",,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
"            Johnson City, TN","56,522","3,896",,364,"3,532",4,20,77,263,538,"2,767",227,,,,,
"            Kingsport, TN","45,757","3,248",,369,"2,879",2,29,43,295,477,"2,267",135,,,,,
"            Bristol, TN","25,292","1,475", ,121,"1,354",1,4,13,103,189,"1,083",82,,,,,
"            Bristol, VA","17,894",760,,92,668,0,3,9,80,69,565,34,,,,,
         Total area actually reporting,100.0%,"17,961",,"1,963","15,998",17,135,204,"1,607","3,380","11,614","1,004",,,,,
"         Rate per 100,000 inhabitants",,"3,663.6",,400.4,"3,263.2",3.5,27.5,41.6,327.8,689.4,"2,369.0",204.8,,,,,
"Johnstown, PA M.S.A.","233,644",,,,,,,,,,,,,,,,
    (Includes Cambria and Somerset Counties.),,,,,,,,,,,,,,,,,
         City of Johnstown,"28,714 ","1,207",,149,"1,058",2,5,55,87,326,660,72,,,,,
         Total area actually reporting,78.6%,"3,436",,409,"3,027",7,40,85,277,864,"1,960",203,,,,,
         Estimated total,100.0%,"4,612",,521,"4,091",8,48,114,351,"1,017","2,792",282,,,,,
"         Rate per 100,000 inhabitants",,"1,973.9",,223.0,"1,751.0",3.4,20.5,48.8,150.2,435.3,"1,195.0",120.7,,,,,
"Jonesboro, AR M.S.A.","83,275", ,,,,,,,,,,,,,,,
    (Includes Craighead County.),,,, , , ,,,,,,,,,,,
         City of Jonesboro,"56,276 ","3,252",,261,"2,991",2,8,72,179,507,"2,324",160,,,,,
         Total area actually reporting,100.0%,"3,862",,286,"3,576",3,9,76,198,652,"2,694",230,,,,,
"         Rate per 100,000 inhabitants",,"4,637.6",,343.4,"4,294.2",3.6,10.8,91.3,237.8,782.9,"3,235.1",276.2,,,,,
"Joplin, MO M.S.A.","159,498",,,,,,,,,,,,,,,,
    (Includes Jasper and Newton Counties.),,,, , , ,,,,,,,,,,,
         City of Joplin,"46,133 ","3,689",,206,"3,483",1,32,63,110,618,"2,649",216,,,,,
         Total area actually reporting,100.0%,"7,394",,856,"6,538",2,53,81,720,"1,272","4,814",452,,,,,
"         Rate per 100,000 inhabitants",,"4,635.8",,536.7,"4,099.1",1.3,33.2,50.8,451.4,797.5,"3,018.2",283.4,,,,,
"Kalamazoo-Battle Creek, MI M.S.A.","457,954",,,,,,,,,,,, ,,,,
"    (Includes Calhoun, Kalamazoo, and Van Buren Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Kalamazoo,"78,014 ","6,315",,852,"5,463",6,40,158,648,"1,171","3,696",596,,,,,
            Battle Creek,"53,965 ","4,715",,840,"3,875",5,79,139,617,810,"2,780",285,,,,,
         Total area actually reporting,99.0%,"24,016",,"2,957","21,059",26,310,424,"2,197","4,466","14,891","1,702",,,,,
         Estimated total,100.0%,"24,181",,"2,972","21,209",26,312,427,"2,207","4,492","14,998","1,719",,,,,
"         Rate per 100,000 inhabitants",,"5,280.2",,649.0,"4,631.3",5.7,68.1,93.2,481.9,980.9,"3,275.0",375.4,,,,,
"Kenosha, WI M.S.A.3","151,739",, ,,,,,,,,,,,,,,
    (Includes Kenosha County.),,,,,,,,,,,,,,,,,
         City of Kenosha3,"91,658 ","2,785",,207,"2,578",1,28,80,98,502,"1,899",177,,,,,
