Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Mansfield,"49,435","3,924",,185,"3,739",1,39,104,41,938,"2,623",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,89.0%,"6,709",,254,"6,455",3,59,132,60,"1,587","4,607",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"7,343",,285,"7,058",3,63,143,76,"1,682","5,078",298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,169.0",,161.8,"4,007.2",1.7,35.8,81.2,43.1,955.0,"2,883.0",169.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McAllen-Edinburg-Mission, TX M.S.A.","582,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Hidalgo County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            McAllen,"108,829","8,989",,474,"8,515",3,11,124,336,"1,567","6,235",713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Edinburg,"49,565","4,866",,299,"4,567",0,41,63,195,634,"3,736",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Mission,"46,438","2,902",,85,"2,817",0,2,27,56,499,"2,030",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.8%,"34,015",,"3,179","30,836",38,119,500,"2,522","7,258","21,313","2,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"34,073",,"3,183","30,890",38,119,501,"2,525","7,268","21,353","2,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,850.6", ,546.5,"5,304.0",6.5,20.4,86.0,433.6,"1,248.0","3,666.5",389.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medford-Ashland, OR M.S.A.","183,996",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Medford,"64,104","3,733",,198,"3,535",0,19,32,147,431,"2,941",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Ashland,"19,816",763, ,8,755,0,1,4,3,96,641,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,512",,380,"7,132",2,45,53,280,"1,027","5,742",363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,082.7", ,206.5,"3,876.2",1.1,24.5,28.8,152.2,558.2,"3,120.7",197.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Melbourne-Titusville-Palm Bay, FL M.S.A.","488,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Brevard County.),,,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Melbourne,"73,232","5,299",,725,"4,574",3,43,166,513,802,"3,480",292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Titusville,"41,724","2,068",,378,"1,690",2,18,99,259,451,"1,051",188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Palm Bay,"81,471","4,286", ,739,"3,547",4,50,97,588,698,"2,641",208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"24,168",,"3,761","20,407",15,207,659,"2,880","4,263","14,725","1,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,946.7",,769.8,"4,176.9",3.1,42.4,134.9,589.5,872.5,"3,013.9",290.4, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN-AR-MS M.S.A.4","1,145,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Fayette, Shelby, and Tipton Counties, TN, Crittenden County, AR, and DeSoto County, MS.)",,,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Memphis, TN4","655,898","65,479",,"10,862","54,617",158,480,"4,338","5,886","15,874","29,207","9,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            West Memphis, AR","27,859","1,758",,336,"1,422",2,21,120,193,417,814,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,96.8%,"83,976",,"12,598","71,378",173,602,"4,728","7,095","19,642","40,530","11,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"84,932",,"12,647","72,285",175,611,"4,736","7,125","19,928","41,080","11,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,416.4",,"1,104.4","6,312.0",15.3,53.4,413.6,622.2,"1,740.1","3,587.2",984.7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merced, CA M.S.A.","214,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Merced County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Merced,"65,080","4,154",,377,"3,777",2,25,111,239,653,"2,747",377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,439",,"1,324","8,115",5,67,176,"1,076","2,062","5,053","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,401.1",,617.3,"3,783.8",2.3,31.2,82.1,501.7,961.5,"2,356.1",466.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miami, FL M.S.A.","2,311,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Miami-Dade County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Miami,"371,863","35,291",,"7,210","28,081",66,118,"2,719","4,307","6,218","16,635","5,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Miami Beach,"90,212","11,217",,"1,241","9,976",6,66,484,685,"1,607","7,000","1,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"175,652",,"26,615","149,037",195,843,"8,397","17,180","26,827","98,426","23,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,598.2",,"1,151.3","6,446.9",8.4,36.5,363.2,743.2,"1,160.5","4,257.6","1,028.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Middlesex-Somerset-Hunterdon, NJ M.S.A.","1,179,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hunterdon, Middlesex, and Somerset Counties.)",,, ,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"26,061",,"2,150","23,911",14,98,719,"1,319","4,511","16,742","2,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"26,095",,"2,153","23,942",14,98,720,"1,321","4,517","16,763","2,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,212.6",,182.6,"2,030.0",1.2,8.3,61.0,112.0,383.0,"1,421.3",225.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee-Waukesha, WI M.S.A.","1,511,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties.)",,, ,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Milwaukee,"601,229","45,748",,"5,463","40,285",127,295,"2,913","2,128","6,680","25,712","7,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Waukesha,"65,287","1,586",,100,"1,486",2,8,21,69,321,"1,073",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"69,281",,"6,367","62,914",134,396,"3,257","2,580","9,514","44,266","9,134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"69,930",,"6,388","63,542",134,398,"3,264","2,592","9,584","44,794","9,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,626.7", ,422.6,"4,204.1",8.9,26.3,216.0,171.5,634.1,"2,963.7",606.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minneapolis-St. Paul, MN-WI M.S.A.","3,000,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Minneapolis, MN","386,726","26,820",,"4,101","22,719",43,399,"1,943","1,716","4,092","14,548","4,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            St. Paul, MN","290,234","19,046",,"2,236","16,810",9,221,680,"1,326","3,009","11,457","2,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.8%,"121,526",,"9,900","111,626",77,"1,374","3,418","5,031","16,046","84,052","11,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"122,821",,"9,960","112,861",77,"1,387","3,432","5,064","16,193","85,057","11,611", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,093.6", ,332.0,"3,761.6",2.6,46.2,114.4,168.8,539.7,"2,834.9",387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile, AL M.S.A.6","542,355",,,, , , ,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Baldwin and Mobile Counties.),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Mobile6,"255,551","19,875",,"1,529","18,346",42,95,840,552,"4,653","12,284","1,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,93.4%,"32,228",,"2,755","29,473",60,157,"1,177","1,361","7,921","19,319","2,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"34,043",,"2,906","31,137",63,166,"1,223","1,454","8,246","20,550","2,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,276.9",,535.8,"5,741.1",11.6,30.6,225.5,268.1,"1,520.4","3,789.0",431.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Modesto, CA M.S.A.","455,304",, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Stanislaus County.),,,, ,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Modesto,"192,366","11,976",,"1,161","10,815",17,104,381,659,"1,829","7,580","1,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Turlock,"56,847","3,388",,324,"3,064",2,19,64,239,593,"1,880",591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"24,973",,"2,952","22,021",34,215,644,"2,059","4,288","14,509","3,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,484.9",,648.4,"4,836.5",7.5,47.2,141.4,452.2,941.8,"3,186.7",708.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monmouth-Ocean, NJ M.S.A.","1,135,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Monmouth and Ocean Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Dover Township,"90,453","2,775",,181,"2,594",0,13,58,110,450,"2,033",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"27,796", ,"2,260","25,536",13,132,691,"1,424","4,717","19,454","1,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,447.7",,199.0,"2,248.7",1.1,11.6,60.8,125.4,415.4,"1,713.1",120.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monroe, LA M.S.A.","147,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Quachita Parish.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Monroe,"53,065","6,272",,866,"5,406",2,37,126,701,"1,120","3,984",302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"10,196",,"1,291","8,905",10,71,196,"1,014","2,002","6,438",465, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"10,319",,"1,305","9,014",10,72,199,"1,024","2,023","6,519",472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"7,013.4",,887.0,"6,126.4",6.8,48.9,135.3,696.0,"1,374.9","4,430.7",320.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montgomery, AL M.S.A.","334,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Autauga, Elmore, and Montgomery Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Montgomery,"202,350","15,791", ,"1,456","14,335",26,102,652,676,"3,252","9,928","1,155", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,85.3%,"19,581",,"1,829","17,752",34,126,736,933,"4,015","12,397","1,340",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"20,796",,"1,944","18,852",35,134,760,"1,015","4,335","13,093","1,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,219.9",,581.4,"5,638.5",10.5,40.1,227.3,303.6,"1,296.6","3,916.0",425.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muncie, IN M.S.A.","119,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Delaware County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Muncie,"67,810","2,921", ,289,"2,632",1,24,80,184,531,"1,928",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,987",,346,"3,641",1,44,86,215,716,"2,707",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,338.1",,289.7,"3,048.4",0.8,36.8,72.0,180.0,599.5,"2,266.4",182.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naples, FL M.S.A.","257,891",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Collier County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Naples,"21,520","1,010",,74,936,1,6,22,45,141,760,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,180",,"1,370","8,810",10,82,264,"1,014","2,285","5,974",551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,947.4",,531.2,"3,416.2",3.9,31.8,102.4,393.2,886.0,"2,316.5",213.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nashville, TN M.S.A.","1,242,290",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cheatham, Davidson, Dickson, Robertson, Rutherford, Sumner, Williamson, and Wilson Counties.)",,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Nashville,"555,059","50,155",,"9,075","41,080",64,427,"2,521","6,063","7,842","27,837","5,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Murfreesboro,"69,430","3,539",,383,"3,156",0,19,85,279,378,"2,559",219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"74,342",,"12,061","62,281",82,617,"2,896","8,466","11,899","43,579","6,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,984.3",,970.9,"5,013.4",6.6,49.7,233.1,681.5,957.8,"3,508.0",547.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newark, NJ M.S.A.","2,049,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Essex, Morris, Sussex, Union, and Warren Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Newark,"275,823","18,748",,"3,837","14,911",90,91,"1,837","1,819","2,552","6,324","6,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"75,493",,"11,086","64,407",151,330,"5,533","5,072","12,149","35,564","16,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,682.7", ,540.8,"3,141.9",7.4,16.1,269.9,247.4,592.7,"1,734.9",814.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Bedford, MA M.S.A.","176,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Bristol and Plymouth Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of New Bedford,"94,216","3,220", ,756,"2,464",5,63,197,491,831,"1,072",561, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.4%,"5,709",,"1,043","4,666",6,84,211,742,"1,367","2,547",752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,807",,"1,056","4,751",6,85,213,752,"1,384","2,606",761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,298.8",,599.9,"2,698.9",3.4,48.3,121.0,427.2,786.2,"1,480.4",432.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newburgh, NY-PA M.S.A.","388,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Orange County, NY and Pike County, PA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Newburgh, NY","28,311","1,999", ,459,"1,540",7,23,136,293,428,"1,041",71, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,90.3%,"9,112",,"1,072","8,040",16,71,242,743,"1,441","6,233",366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"10,067",,"1,151","8,916",17,75,266,793,"1,564","6,925",427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,592.4",,296.4,"2,296.0",4.4,19.3,68.5,204.2,402.8,"1,783.3",110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Haven-Meriden, CT M.S.A.","534,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Middlesex and New Haven Counties.),,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            New Haven,"124,334","9,844",,"1,915","7,929",19,56,768,"1,072","1,348","5,190","1,391",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Meriden,"58,578","2,329",,101,"2,228",2,7,56,36,526,"1,545",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"21,768",,"2,501","19,267",23,107,994,"1,377","3,107","13,814","2,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,075.4", ,468.2,"3,607.2",4.3,20.0,186.1,257.8,581.7,"2,586.2",439.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New London-Norwich, CT-RI M.S.A.","195,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Middlesex, New London, and Windham Counties, CT and part of Washington County, RI.)",,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            New London, CT","25,818","1,152",,185,967,1,10,43,131,196,642,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Norwich, CT","36,324","1,255",,143,"1,112",0,19,55,69,259,770,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,612",,557,"5,055",6,78,142,331,932,"3,788",335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,866.3", ,284.5,"2,581.8",3.1,39.8,72.5,169.1,476.0,"1,934.7",171.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA M.S.A.","1,336,665",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              New Orleans,"484,289","36,057",,"5,877","30,180",213,209,"2,778","2,677","5,262","16,187","8,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Slidell,"25,675","2,093",,194,"1,899",0,16,43,135,278,"1,470",151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"76,719",,"10,504","66,215",267,411,"3,976","5,850","11,981","41,492","12,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"76,833",,"10,516","66,317",267,412,"3,978","5,859","12,001","41,567","12,749",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,748.1",,786.7,"4,961.4",20.0,30.8,297.6,438.3,897.8,"3,109.8",953.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York, NY M.S.A.","9,331,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
