Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lowell, MA-NH M.S.A.","305,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Middlesex County, MA and Hillsborough County, NH.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Lowell, MA","103,954","3,999",,737,"3,262",6,45,131,555,686,"1,765",811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.3%,"6,602",,939,"5,663",6,70,150,713,"1,083","3,516","1,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,876", ,961,"5,915",6,74,153,728,"1,126","3,702","1,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,250.2", ,314.5,"1,935.7",2.0,24.2,50.1,238.2,368.5,"1,211.5",355.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lubbock, TX M.S.A.","236,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lubbock County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Lubbock,"197,658","14,493",,"2,508","11,985",12,141,248,"2,107","2,648","8,734",603, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"16,039", ,"2,586","13,453",13,152,252,"2,169","2,942","9,794",717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,782.5", ,"1,093.6","5,688.9",5.5,64.3,106.6,917.2,"1,244.1","4,141.6",303.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lynchburg, VA M.S.A.","215,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bedford and Lynchburg Cities and Amherst, Bedford, and Campbell Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Lynchburg,"65,838","2,752",,292,"2,460",2,26,87,177,402,"1,846",212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,084",,466,"4,618",10,50,106,300,764,"3,503",351, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,363.7",,216.7,"2,147.1",4.6,23.2,49.3,139.5,355.2,"1,628.7",163.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macon, GA M.S.A.","338,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bibb, Houston, Jones, Peach, and Twiggs Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Macon,"119,131","11,382",,841,"10,541",15,74,334,418,"2,288","6,976","1,277", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"20,384", ,"1,586","18,798",21,122,515,928,"4,173","12,742","1,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"20,405",,"1,588","18,817",21,122,516,929,"4,176","12,756","1,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,036.5",,469.8,"5,566.7",6.2,36.1,152.6,274.8,"1,235.4","3,773.6",557.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madison, WI M.S.A.","430,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Dane County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Madison,"215,217","7,992",,688,"7,304",3,71,286,328,"1,267","5,365",672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,83.5%,"12,482", ,853,"11,629",4,96,323,430,"1,766","9,066",797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"13,565",,906,"12,659",5,104,328,469,"1,970","9,837",852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,154.0",,210.7,"2,943.3",1.2,24.2,76.3,109.0,458.0,"2,287.2",198.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manchester, NH M.S.A.","195,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Hillsborough, Merrimack, and Rockingham Counties.)",,,,, , , , , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Manchester,"105,797","3,935",,242,"3,693",2,41,145,54,603,"2,683",407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,79.4%,"4,581",,277,"4,304",2,51,156,68,703,"3,137",464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,317",,323,"4,994",2,66,163,92,822,"3,649",523, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,715.2",,164.9,"2,550.3",1.0,33.7,83.2,47.0,419.8,"1,863.4",267.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mansfield, OH M.S.A.","178,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Crawford and Richland Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Mansfield,"51,766","3,491",,195,"3,296",3,40,101,51,777,"2,354",165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,91.8%,"6,139",,249,"5,890",3,57,115,74,"1,354","4,275",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,624",,274,"6,350",3,60,124,87,"1,423","4,639",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,718.8",,153.8,"3,565.0",1.7,33.7,69.6,48.8,798.9,"2,604.4",161.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McAllen-Edinburg-Mission, TX M.S.A.","556,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Hidalgo County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            McAllen,"114,736","8,740",,389,"8,351",2,3,116,268,"1,365","6,136",850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Edinburg,"47,286","4,692",,327,"4,365",2,13,50,262,679,"3,464",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Mission,"45,718","2,843",,55,"2,788",2,-,22,31,566,"1,980",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"33,558",,"2,835","30,723",23,84,478,"2,250","7,310","20,983","2,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,030.6", ,509.5,"5,521.1",4.1,15.1,85.9,404.3,"1,313.7","3,770.8",436.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medford-Ashland, OR M.S.A.","181,402",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Medford,"61,839","3,995",,208,"3,787",-,27,30,151,415,"3,178",194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Ashland,"19,251",872, ,10,862,-,3,1,6,109,727,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,137",,444,"7,693",4,56,50,334,"1,034","6,281",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,485.6", ,244.8,"4,240.9",2.2,30.9,27.6,184.1,570.0,"3,462.5",208.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN-AR-MS M.S.A.4","1,146,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Fayette, Shelby, and Tipton Counties, TN, Crittenden County, AR, and Desoto County, MS.)",,,,, , ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Memphis, TN4","628,851","59,561",,"9,610","49,951",146,574,"4,086","4,804","14,936","26,320","8,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            West Memphis, AR","28,180","1,585",,322,"1,263",6,23,111,182,369,695,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"77,542",,"11,530","66,012",167,692,"4,477","6,194","18,804","36,852","10,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,766.3",,"1,006.1","5,760.2",14.6,60.4,390.7,540.5,"1,640.8","3,215.7",903.7, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merced, CA M.S.A.","205,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Merced County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Merced,"61,878","4,090",,418,"3,672",3,25,106,284,721,"2,624",327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,993",,"1,307","7,686",6,58,172,"1,071","2,169","4,735",782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,383.7",,637.1,"3,746.6",2.9,28.3,83.8,522.1,"1,057.3","2,308.1",381.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miami, FL M.S.A.","2,301,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Miami-Dade County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Miami,"390,540","39,756",,"7,877","31,879",66,118,"3,077","4,616","7,303","18,854","5,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Miami Beach,"103,496","12,393",,"1,323","11,070",6,61,543,713,"1,669","8,077","1,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"185,540",,"27,784","157,756",197,"1,095","9,138","17,354","30,266","103,004","24,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"8,063.3",,"1,207.4","6,855.8",8.6,47.6,397.1,754.2,"1,315.3","4,476.4","1,064.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Middlesex-Somerset-Hunterdon, NJ M.S.A.","1,168,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hunterdon, Middlesex, and Somerset Counties.)",,, ,, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"26,414",,"2,202","24,212",15,131,741,"1,315","4,327","17,544","2,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,261.1", ,188.5,"2,072.6",1.3,11.2,63.4,112.6,370.4,"1,501.8",200.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee-Waukesha, WI M.S.A.","1,480,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties.)",,, ,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Milwaukee,"584,763","44,092",,"5,711","38,381",122,303,"3,021","2,265","6,363","23,949","8,069",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Waukesha,"64,625","1,399",,66,"1,333",-,16,15,35,187,"1,068",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.5%,"66,504",,"6,645","59,859",127,395,"3,416","2,707","8,750","41,850","9,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"67,191",,"6,671","60,520",127,398,"3,425","2,721","8,823","42,408","9,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,539.3", ,450.7,"4,088.7",8.6,26.9,231.4,183.8,596.1,"2,865.0",627.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minneapolis-St. Paul, MN-WI M.S.A.7","2,959,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Minneapolis, MN","364,049","27,489",,"4,404","23,085",50,422,"1,948","1,984","4,514","14,788","3,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            St. Paul, MN","263,937","18,719",,"2,393","16,326",20,223,758,"1,392","3,097","11,233","1,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"121,588",,"10,591","110,997",104,"1,366","3,430","5,691","16,513","84,303","10,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"121,676",,"10,594","111,082",104,"1,366","3,431","5,693","16,523","84,374","10,185", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,111.6", ,358.0,"3,753.6",3.5,46.2,115.9,192.4,558.3,"2,851.1",344.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile, AL M.S.A.8","544,937",,,, , , ,, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Baldwin and Mobile Counties.),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Mobile8,"243,973","17,614",,"1,496","16,118",20,54,896,526,"3,609","10,985","1,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,82.7%,"29,676",,"2,694","26,982",44,133,"1,221","1,296","6,521","18,156","2,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"32,488",,"2,986","29,502",49,158,"1,278","1,501","7,164","19,855","2,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,961.8",,548.0,"5,413.8",9.0,29.0,234.5,275.4,"1,314.6","3,643.5",455.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Modesto, CA M.S.A.","446,364",, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Stanislaus County.),,,, ,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Modesto,"192,379","10,663",,967,"9,696",3,59,297,608,"1,760","6,706","1,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Turlock,"53,578","3,145",,297,"2,848",1,17,53,226,616,"1,795",437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"23,840",,"3,088","20,752",16,148,520,"2,404","4,481","13,708","2,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,340.9",,691.8,"4,649.1",3.6,33.2,116.5,538.6,"1,003.9","3,071.0",574.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monmouth-Ocean, NJ M.S.A.","1,145,873",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Monmouth and Ocean Counties.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Dover Township,"90,387","2,581",,162,"2,419",2,7,41,112,463,"1,843",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"26,281", ,"2,134","24,147",18,120,615,"1,381","4,439","18,578","1,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,293.5",,186.2,"2,107.3",1.6,10.5,53.7,120.5,387.4,"1,621.3",98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monroe, LA M.S.A.","149,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Quachita Parish.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Monroe,"53,270","6,708",,949,"5,759",8,49,124,768,964,"4,373",422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,87.9%,"9,299",,"1,221","8,078",14,69,159,979,"1,665","5,901",512, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"10,326",,"1,345","8,981",15,74,179,"1,077","1,833","6,573",575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,887.5",,897.1,"5,990.4",10.0,49.4,119.4,718.4,"1,222.6","4,384.2",383.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Montgomery, AL M.S.A.","328,585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Autauga, Elmore, and Montgomery Counties.)",,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Montgomery,"199,149","16,261", ,"1,563","14,698",31,113,605,814,"3,467","9,795","1,436", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.9%,"20,719",,"1,978","18,741",39,152,695,"1,092","4,492","12,627","1,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"21,095",,"2,015","19,080",40,154,705,"1,116","4,558","12,880","1,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,420.0",,613.2,"5,806.7",12.2,46.9,214.6,339.6,"1,387.2","3,919.8",499.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naples, FL M.S.A.","218,964",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Collier County.),,,,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Naples,"20,734","1,047",,76,971,-,2,16,58,154,768,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"9,954",,"1,378","8,576",13,114,208,"1,043","2,186","5,820",570,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,546.0",,629.3,"3,916.6",5.9,52.1,95.0,476.3,998.3,"2,658.0",260.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nashville, TN M.S.A.4","1,214,116",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cheatham, Davidson, Dickson, Robertson, Rutherford, Sumner, Williamson, and Wilson Counties.)",,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Nashville4,"533,484","48,590",,"8,901","39,689",72,395,"2,201","6,233","7,634","26,732","5,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Murfreesboro4,"63,472","3,840",,432,"3,408",-,25,62,345,421,"2,774",213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"73,393",,"11,817","61,576",96,589,"2,516","8,616","11,774","42,913","6,889",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,045.0",,973.3,"5,071.7",7.9,48.5,207.2,709.7,969.8,"3,534.5",567.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newark, NJ M.S.A.","2,019,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Essex, Morris, Sussex, Union, and Warren Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Newark,"271,839","19,663",,"4,092","15,571",58,95,"1,923","2,016","2,765","7,364","5,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"74,600",,"11,394","63,206",121,373,"5,543","5,357","11,813","36,511","14,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,693.6", ,564.1,"3,129.5",6.0,18.5,274.4,265.2,584.9,"1,807.7",736.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Bedford, MA M.S.A.","181,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Bristol and Plymouth Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of New Bedford,"97,449","3,166", ,789,"2,377",1,44,145,599,801,"1,032",544, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,97.3%,"5,729",,"1,305","4,424",4,58,168,"1,075","1,339","2,383",702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,835",,"1,321","4,514",4,59,170,"1,088","1,355","2,447",712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,217.2",,728.4,"2,488.9",2.2,32.5,93.7,599.9,747.1,"1,349.2",392.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Newburgh, NY-PA M.S.A.","390,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Orange County, NY and Pike County, PA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Newburgh, NY","27,274","1,730", ,438,"1,292",1,9,166,262,343,857,92, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.3%,"9,810",,"1,081","8,729",4,60,285,732,"1,656","6,660",413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"10,290",,"1,119","9,171",4,62,297,756,"1,718","7,009",444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,632.6",,286.3,"2,346.3",1.0,15.9,76.0,193.4,439.5,"1,793.2",113.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Haven-Meriden, CT M.S.A.","531,562",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes part of Middlesex and New Haven Counties.),,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            New Haven,"126,794","9,726",,"1,696","8,030",18,58,658,962,"1,484","5,236","1,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Meriden,"58,487","2,164",,94,"2,070",2,4,47,41,279,"1,661",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"21,116",,"2,154","18,962",28,110,851,"1,165","2,933","13,695","2,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,972.4", ,405.2,"3,567.2",5.3,20.7,160.1,219.2,551.8,"2,576.4",439.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New London-Norwich, CT-RI M.S.A.","199,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Middlesex, New London, and Windham Counties, CT and part of Washington County, RI.)",,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            New London, CT","26,878","1,242",,213,"1,029",1,18,49,145,218,690,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Norwich, CT","36,164","1,225",,149,"1,076",-,23,38,88,276,717,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,736",,618,"5,118",2,97,130,389,"1,053","3,748",317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,869.2", ,309.1,"2,560.1",1.0,48.5,65.0,194.6,526.7,"1,874.8",158.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA M.S.A.","1,334,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              New Orleans,"471,134","34,001",,"5,330","28,671",204,227,"2,421","2,478","5,230","15,575","7,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Slidell,"27,740","2,272",,170,"2,102",-,12,44,114,254,"1,663",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.0%,"74,613",,"10,009","64,604",268,424,"3,563","5,754","11,999","40,512","12,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"77,623",,"10,314","67,309",272,442,"3,626","5,974","12,606","42,378","12,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,817.0",,772.9,"5,044.0",20.4,33.1,271.7,447.7,944.7,"3,175.7",923.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York, NY M.S.A.","9,111,706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              New York,"7,746,511","288,368",,"75,745","212,623",673,"1,630","32,562","40,880","37,112","139,664","35,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,
              White Plains,"52,393","2,380",,193,"2,187",1,8,67,117,212,"1,854",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.1%,"320,318",,"79,320","240,998",709,"1,755","33,794","43,062","41,023","161,105","38,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"322,417",,"79,485","242,932",710,"1,763","33,847","43,165","41,296","162,633","39,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,538.5",,872.3,"2,666.2",7.8,19.3,371.5,473.7,453.2,"1,784.9",428.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oakland, CA M.S.A.","2,400,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Alameda and Contra Costa Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
